name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,458.00,6307.00,1070.00,5.90,12.00,4.00,389.00,389.00,587.00,4418.00,32.00,8.00,7.10,232.00,448.00,1889.00,16.00,4.20,107.00,95.00,835.00,50.00,174.00,49.40,6.90,28.50,249.00,6.38,36.10,2.61,296.00,5856.00,1022.00,5.70,18.00,6.00,325.00,367.00,590.00,4020.00,24.00,12.00,6.40,204.00,390.00,1836.00,6.00,4.70,98.00,111.00,1035.00,23.00,172.00,30.20,9.90,24.80,244.00,6.10,34.00,1.60
buffalo,302.00,4842.00,1010.00,4.80,16.00,6.00,278.00,289.00,476.00,2825.00,16.00,10.00,5.40,149.00,487.00,2017.00,12.00,4.10,105.00,98.00,872.00,24.00,180.00,31.70,8.90,28.20,231.00,5.92,26.90,1.57,359.00,5682.00,1066.00,5.30,25.00,7.00,348.00,370.00,573.00,3688.00,14.00,18.00,6.10,199.00,466.00,1994.00,22.00,4.30,121.00,97.00,873.00,28.00,183.00,37.20,13.10,30.30,249.00,6.10,31.10,1.90
miami,281.00,4923.00,995.00,4.90,29.00,8.00,284.00,373.00,602.00,3535.00,24.00,21.00,5.60,187.00,360.00,1388.00,4.00,3.90,66.00,137.00,1154.00,31.00,190.00,25.80,15.30,28.10,229.00,5.39,25.90,1.36,393.00,5371.00,989.00,5.40,15.00,6.00,319.00,339.00,528.00,3603.00,26.00,9.00,6.50,190.00,431.00,1768.00,14.00,4.10,88.00,122.00,1077.00,41.00,186.00,36.60,8.10,28.90,238.00,5.50,28.50,1.98
nyjets,298.00,4884.00,984.00,5.00,24.00,12.00,269.00,323.00,510.00,3182.00,19.00,12.00,5.70,157.00,427.00,1702.00,13.00,4.00,77.00,119.00,1035.00,35.00,199.00,28.60,11.10,27.60,226.00,5.12,24.50,1.50,382.00,5636.00,1052.00,5.40,20.00,9.00,329.00,329.00,558.00,3749.00,30.00,11.00,6.40,191.00,466.00,1887.00,13.00,4.00,88.00,114.00,981.00,50.00,192.00,33.30,10.40,28.40,232.00,5.70,29.20,1.90
pittsburgh,406.00,6047.00,1051.00,5.80,20.00,5.00,348.00,384.00,590.00,4380.00,29.00,15.00,7.10,217.00,437.00,1667.00,12.00,3.80,96.00,101.00,897.00,35.00,179.00,43.00,10.60,29.30,252.00,6.09,33.70,2.23,308.00,4910.00,940.00,5.20,22.00,6.00,270.00,297.00,499.00,3217.00,20.00,16.00,5.80,157.00,385.00,1693.00,14.00,4.40,89.00,110.00,1041.00,24.00,178.00,30.30,12.40,25.90,232.00,5.40,27.60,1.67
baltimore,395.00,4886.00,1054.00,4.60,17.00,4.00,311.00,363.00,567.00,3030.00,20.00,13.00,5.10,168.00,460.00,1856.00,14.00,4.00,111.00,91.00,749.00,32.00,192.00,36.50,8.90,32.80,234.00,5.70,25.40,1.84,303.00,5201.00,1045.00,5.00,34.00,12.00,296.00,333.00,569.00,3421.00,18.00,22.00,5.60,179.00,435.00,1780.00,12.00,4.10,87.00,96.00,807.00,30.00,195.00,29.70,17.40,26.50,226.00,5.50,26.60,1.51
cincinnati,290.00,4488.00,927.00,4.80,23.00,11.00,267.00,304.00,510.00,3122.00,25.00,12.00,5.70,165.00,377.00,1366.00,6.00,3.60,72.00,110.00,1027.00,30.00,185.00,26.50,11.40,27.90,222.00,5.11,24.20,1.46,349.00,5425.00,1091.00,5.00,14.00,3.00,325.00,336.00,561.00,3379.00,20.00,11.00,5.60,173.00,489.00,2046.00,13.00,4.20,111.00,106.00,906.00,41.00,184.00,37.00,7.60,29.30,252.00,6.20,29.40,1.83
cleveland,234.00,4942.00,1008.00,4.90,41.00,13.00,290.00,312.00,574.00,3228.00,15.00,28.00,5.20,157.00,384.00,1714.00,11.00,4.50,97.00,110.00,924.00,36.00,186.00,22.00,21.00,26.50,226.00,5.53,26.50,1.22,410.00,5250.00,1026.00,5.10,13.00,6.00,315.00,360.00,525.00,3684.00,28.00,7.00,6.60,189.00,467.00,1566.00,14.00,3.40,95.00,101.00,906.00,31.00,188.00,36.20,6.90,30.50,247.00,5.60,27.80,2.00
jacksonville,417.00,5855.00,1078.00,5.40,23.00,10.00,332.00,316.00,527.00,3593.00,21.00,13.00,6.50,193.00,527.00,2262.00,18.00,4.30,101.00,112.00,936.00,38.00,199.00,34.70,11.10,29.20,236.00,5.60,29.40,1.82,268.00,4578.00,993.00,4.60,33.00,12.00,257.00,289.00,509.00,2718.00,17.00,21.00,4.80,143.00,429.00,1860.00,9.00,4.30,91.00,112.00,1050.00,23.00,205.00,23.90,15.60,28.70,214.00,5.00,22.20,1.24
tennessee,334.00,5024.00,974.00,5.20,25.00,8.00,290.00,306.00,496.00,3191.00,14.00,17.00,6.00,157.00,443.00,1833.00,18.00,4.10,97.00,85.00,785.00,36.00,191.00,35.10,12.60,28.70,232.00,5.32,26.30,1.72,356.00,5248.00,1046.00,5.00,21.00,9.00,323.00,369.00,605.00,3828.00,27.00,12.00,5.90,231.00,398.00,1420.00,5.00,3.60,68.00,119.00,942.00,24.00,185.00,37.30,10.80,28.70,238.00,5.90,28.30,1.81
indianapolis,263.00,4553.00,994.00,4.60,15.00,6.00,267.00,285.00,487.00,2892.00,13.00,9.00,5.30,148.00,451.00,1661.00,11.00,3.70,94.00,92.00,779.00,25.00,180.00,29.40,8.30,27.30,238.00,5.72,25.20,1.42,404.00,5873.00,1026.00,5.70,20.00,7.00,324.00,320.00,513.00,3946.00,23.00,13.00,7.30,192.00,488.00,1927.00,15.00,3.90,99.00,102.00,822.00,33.00,174.00,39.70,10.30,27.20,254.00,6.10,33.70,2.06
houston,338.00,5120.00,1027.00,5.00,28.00,11.00,313.00,299.00,525.00,3278.00,28.00,17.00,5.70,180.00,448.00,1842.00,8.00,4.10,86.00,124.00,1050.00,47.00,192.00,29.20,14.60,25.30,230.00,5.49,26.70,1.63,436.00,5546.00,973.00,5.70,16.00,5.00,301.00,321.00,501.00,3799.00,30.00,11.00,7.10,176.00,440.00,1747.00,14.00,4.00,88.00,122.00,1128.00,37.00,194.00,39.70,7.70,29.70,228.00,5.20,28.60,2.10
kansascity,415.00,6007.00,985.00,6.10,11.00,3.00,322.00,363.00,543.00,4104.00,26.00,8.00,7.10,198.00,405.00,1903.00,12.00,4.70,95.00,118.00,1044.00,29.00,176.00,44.90,6.30,29.10,249.00,5.86,34.00,2.21,339.00,5842.00,1044.00,5.60,26.00,10.00,352.00,325.00,570.00,3952.00,23.00,16.00,6.60,204.00,443.00,1890.00,15.00,4.30,112.00,107.00,864.00,36.00,179.00,33.50,13.40,26.00,239.00,6.00,32.60,1.85
lachargers,355.00,6026.00,1020.00,5.90,15.00,4.00,337.00,366.00,583.00,4431.00,28.00,11.00,7.40,220.00,419.00,1595.00,10.00,3.80,84.00,108.00,927.00,33.00,177.00,33.30,8.50,26.10,245.00,5.94,34.10,1.88,272.00,5254.00,997.00,5.30,27.00,9.00,282.00,329.00,524.00,3156.00,17.00,18.00,5.60,153.00,430.00,2098.00,11.00,4.90,99.00,109.00,996.00,30.00,179.00,28.50,15.10,27.10,241.00,5.70,29.30,1.48
oakland,301.00,5185.00,952.00,5.40,28.00,14.00,287.00,347.00,558.00,3631.00,23.00,14.00,6.20,178.00,370.00,1554.00,13.00,4.20,78.00,114.00,1009.00,31.00,178.00,29.20,15.20,28.30,236.00,5.49,29.10,1.69,373.00,5601.00,994.00,5.60,14.00,9.00,304.00,361.00,530.00,3858.00,24.00,5.00,6.90,187.00,433.00,1743.00,11.00,4.00,93.00,102.00,944.00,24.00,171.00,40.90,7.00,27.80,255.00,6.10,32.90,2.07
denver,289.00,5185.00,1075.00,4.80,34.00,12.00,297.00,332.00,566.00,3333.00,19.00,22.00,5.40,180.00,457.00,1852.00,8.00,4.10,92.00,113.00,885.00,25.00,193.00,26.40,16.60,27.00,237.00,5.73,26.90,1.35,382.00,4640.00,952.00,4.90,17.00,7.00,266.00,294.00,491.00,3210.00,29.00,10.00,6.10,166.00,428.00,1430.00,9.00,3.30,68.00,89.00,821.00,32.00,194.00,32.50,8.80,33.20,221.00,5.10,23.80,1.78
philadelphia,457.00,5852.00,1073.00,5.50,20.00,11.00,338.00,341.00,564.00,3737.00,38.00,9.00,6.20,193.00,473.00,2115.00,9.00,4.50,108.00,116.00,962.00,37.00,191.00,40.30,9.40,30.00,244.00,5.81,30.50,2.21,295.00,4904.00,976.00,5.00,31.00,12.00,272.00,363.00,601.00,3637.00,24.00,19.00,5.70,177.00,337.00,1267.00,7.00,3.80,62.00,101.00,917.00,33.00,188.00,27.10,15.40,28.20,219.00,5.30,26.10,1.47
dallas,354.00,5311.00,1005.00,5.30,22.00,9.00,314.00,309.00,493.00,3141.00,22.00,13.00,6.00,162.00,480.00,2170.00,18.00,4.50,127.00,97.00,939.00,25.00,171.00,36.30,11.10,29.90,250.00,6.09,31.10,2.02,332.00,5089.00,1000.00,5.10,21.00,11.00,312.00,371.00,559.00,3425.00,28.00,10.00,5.70,181.00,403.00,1664.00,7.00,4.10,96.00,107.00,880.00,35.00,171.00,31.60,10.50,25.80,247.00,6.00,29.60,1.77
washington,342.00,5199.00,982.00,5.30,27.00,14.00,278.00,347.00,540.00,3751.00,27.00,13.00,6.50,191.00,401.00,1448.00,10.00,3.60,66.00,92.00,733.00,21.00,191.00,31.90,12.60,29.40,230.00,5.30,27.00,1.73,388.00,5566.00,1045.00,5.30,23.00,7.00,307.00,306.00,531.00,3420.00,23.00,16.00,6.00,171.00,472.00,2146.00,13.00,4.50,105.00,100.00,887.00,31.00,195.00,35.90,11.80,30.30,230.00,5.60,28.40,1.82
