name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
miami,345.00,5529.00,965.00,5.70,13.00,6.00,308.00,330.00,491.00,3632.00,20.00,7.00,7.00,184.00,448.00,1897.00,18.00,4.20,111.00,81.00,669.00,13.00,174.00,33.90,6.90,29.20,251.00,5.69,31.60,1.89,317.00,5264.00,979.00,5.40,30.00,12.00,296.00,320.00,551.00,3644.00,18.00,18.00,6.20,173.00,388.00,1620.00,11.00,4.20,96.00,86.00,615.00,27.00,165.00,35.20,16.40,27.70,248.00,6.10,31.80,1.76
newengland,410.00,5847.00,1095.00,5.30,21.00,10.00,356.00,339.00,534.00,3569.00,21.00,11.00,6.10,186.00,513.00,2278.00,21.00,4.40,145.00,57.00,501.00,25.00,174.00,44.80,11.50,33.30,259.00,6.52,33.50,2.31,309.00,4944.00,920.00,5.40,22.00,8.00,268.00,288.00,474.00,3222.00,27.00,14.00,6.40,176.00,415.00,1722.00,8.00,4.10,78.00,81.00,636.00,14.00,170.00,30.60,12.90,27.80,238.00,5.50,29.10,1.74
nyjets,405.00,5307.00,981.00,5.40,31.00,8.00,308.00,347.00,529.00,3303.00,22.00,23.00,5.90,186.00,422.00,2004.00,20.00,4.70,94.00,77.00,569.00,28.00,177.00,37.30,16.90,31.40,249.00,5.71,29.80,2.07,356.00,5270.00,1020.00,5.20,30.00,16.00,315.00,368.00,572.00,3752.00,23.00,14.00,6.10,209.00,407.00,1518.00,10.00,3.70,86.00,93.00,663.00,20.00,177.00,33.30,16.90,30.20,244.00,5.90,29.50,1.77
buffalo,336.00,4882.00,956.00,5.10,30.00,15.00,287.00,309.00,479.00,3040.00,14.00,15.00,5.90,167.00,439.00,1842.00,16.00,4.20,107.00,71.00,538.00,13.00,176.00,34.10,16.50,32.10,244.00,5.65,27.70,1.70,342.00,5217.00,971.00,5.40,22.00,12.00,293.00,301.00,492.00,3271.00,14.00,10.00,6.30,167.00,455.00,1946.00,18.00,4.30,113.00,72.00,540.00,13.00,179.00,36.90,11.20,31.70,240.00,5.70,29.10,1.82
pittsburgh,347.00,4991.00,1015.00,4.90,25.00,10.00,290.00,303.00,506.00,3301.00,19.00,15.00,5.90,179.00,460.00,1690.00,16.00,3.70,93.00,95.00,812.00,18.00,190.00,32.60,12.60,31.10,240.00,5.51,26.10,1.72,223.00,3795.00,974.00,3.90,29.00,9.00,240.00,301.00,533.00,2511.00,12.00,20.00,4.30,149.00,390.00,1284.00,7.00,3.30,73.00,91.00,801.00,18.00,188.00,22.90,14.40,30.60,227.00,5.30,20.10,1.09
baltimore,385.00,5184.00,1058.00,4.90,21.00,9.00,300.00,261.00,433.00,2808.00,16.00,12.00,6.00,147.00,592.00,2376.00,20.00,4.00,132.00,103.00,785.00,21.00,194.00,33.00,10.80,32.30,245.00,5.63,26.60,1.73,244.00,4177.00,928.00,4.50,34.00,8.00,228.00,276.00,528.00,2875.00,17.00,26.00,5.10,152.00,366.00,1302.00,4.00,3.60,58.00,114.00,792.00,18.00,195.00,21.50,17.40,28.30,213.00,4.90,21.50,1.08
cincinnati,204.00,3926.00,984.00,4.00,26.00,11.00,245.00,303.00,513.00,2406.00,11.00,15.00,4.30,145.00,420.00,1520.00,6.00,3.60,80.00,75.00,591.00,20.00,186.00,21.00,13.40,30.10,231.00,5.43,21.00,0.99,364.00,5208.00,1013.00,5.10,24.00,12.00,296.00,315.00,506.00,3287.00,23.00,12.00,6.30,169.00,490.00,1921.00,15.00,3.90,106.00,102.00,772.00,21.00,184.00,32.60,12.00,31.10,247.00,5.60,28.20,1.80
cleveland,232.00,3985.00,921.00,4.30,26.00,6.00,233.00,238.00,488.00,2380.00,11.00,20.00,4.60,127.00,409.00,1605.00,6.00,3.90,84.00,100.00,669.00,22.00,172.00,27.30,14.50,29.80,234.00,5.57,23.10,1.22,350.00,5704.00,1004.00,5.70,31.00,8.00,315.00,286.00,446.00,3273.00,19.00,23.00,7.10,176.00,541.00,2431.00,16.00,4.50,125.00,95.00,770.00,14.00,171.00,31.60,17.50,31.80,302.00,6.00,33.30,1.77
tennessee,375.00,5018.00,973.00,5.20,17.00,8.00,268.00,265.00,453.00,2819.00,13.00,9.00,6.10,143.00,508.00,2199.00,24.00,4.30,108.00,108.00,855.00,17.00,191.00,34.60,8.90,32.40,227.00,5.27,26.10,1.81,234.00,4698.00,1022.00,4.60,31.00,11.00,276.00,342.00,575.00,3196.00,12.00,20.00,5.20,166.00,403.00,1502.00,12.00,3.70,81.00,93.00,750.00,29.00,194.00,23.20,15.50,29.20,234.00,5.40,24.20,1.21
indianapolis,377.00,5368.00,969.00,5.50,17.00,5.00,321.00,393.00,585.00,4094.00,27.00,12.00,6.80,220.00,370.00,1274.00,13.00,3.40,80.00,86.00,619.00,21.00,150.00,40.70,10.00,28.20,303.00,6.63,35.80,2.31,298.00,4975.00,983.00,5.10,26.00,11.00,305.00,329.00,481.00,3009.00,6.00,15.00,5.90,165.00,472.00,1966.00,18.00,4.20,119.00,68.00,543.00,21.00,153.00,37.30,17.00,27.60,317.00,6.70,32.50,1.75
houston,366.00,6113.00,1019.00,6.00,32.00,12.00,340.00,367.00,555.00,4267.00,21.00,20.00,7.30,210.00,432.00,1846.00,16.00,4.30,106.00,80.00,664.00,24.00,173.00,38.20,17.30,29.80,258.00,6.08,35.30,2.00,394.00,5385.00,935.00,5.80,22.00,10.00,300.00,294.00,471.00,3423.00,24.00,12.00,6.90,167.00,439.00,1962.00,18.00,4.50,114.00,81.00,659.00,19.00,175.00,38.30,12.00,29.50,234.00,5.50,30.70,2.11
jacksonville,302.00,5106.00,1005.00,5.10,24.00,11.00,312.00,335.00,537.00,3332.00,15.00,13.00,5.80,183.00,426.00,1774.00,17.00,4.20,107.00,104.00,813.00,22.00,172.00,29.70,12.80,27.30,256.00,5.99,29.70,1.63,367.00,5295.00,922.00,5.70,17.00,4.00,289.00,297.00,465.00,3586.00,25.00,13.00,7.30,166.00,428.00,1709.00,14.00,4.00,98.00,80.00,691.00,25.00,170.00,38.80,9.40,31.20,242.00,5.60,31.10,2.08
