name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,441.00,6180.00,1056.00,5.90,11.00,9.00,351.00,368.00,550.00,4308.00,32.00,2.00,7.50,203.00,482.00,1872.00,19.00,3.90,109.00,93.00,819.00,39.00,182.00,42.90,4.90,30.90,245.00,6.02,33.90,2.41,250.00,5223.00,998.00,5.20,23.00,10.00,294.00,368.00,596.00,3806.00,21.00,13.00,6.00,190.00,368.00,1417.00,6.00,3.90,81.00,113.00,930.00,23.00,179.00,26.80,11.20,25.00,234.00,5.70,29.00,1.41
miami,363.00,5324.00,913.00,5.80,23.00,8.00,278.00,316.00,477.00,3500.00,27.00,15.00,6.90,167.00,406.00,1824.00,14.00,4.50,90.00,125.00,1142.00,21.00,189.00,30.70,11.10,29.60,227.00,4.96,28.00,1.81,380.00,6122.00,1088.00,5.60,25.00,9.00,349.00,368.00,591.00,3875.00,30.00,16.00,6.20,199.00,464.00,2247.00,12.00,4.80,109.00,109.00,919.00,41.00,194.00,35.10,12.90,28.20,240.00,5.80,31.40,1.92
buffalo,399.00,5666.00,1012.00,5.60,12.00,5.00,328.00,286.00,474.00,3036.00,17.00,7.00,5.80,155.00,492.00,2630.00,29.00,5.30,146.00,112.00,960.00,27.00,177.00,36.70,6.80,28.90,242.00,5.91,31.80,2.14,378.00,5712.00,1019.00,5.60,18.00,6.00,338.00,306.00,511.00,3582.00,19.00,12.00,6.50,183.00,469.00,2130.00,21.00,4.50,122.00,106.00,884.00,33.00,183.00,38.80,9.30,29.50,243.00,5.80,31.00,2.06
nyjets,275.00,5268.00,1003.00,5.30,34.00,9.00,291.00,311.00,550.00,3466.00,16.00,25.00,5.90,166.00,418.00,1802.00,10.00,4.30,97.00,93.00,837.00,28.00,185.00,29.70,17.80,27.50,239.00,5.60,28.50,1.50,409.00,5479.00,1000.00,5.50,14.00,6.00,318.00,347.00,545.00,3898.00,30.00,8.00,6.80,203.00,428.00,1581.00,11.00,3.70,86.00,74.00,651.00,29.00,183.00,37.70,7.10,30.20,236.00,5.70,29.90,2.05
pittsburgh,399.00,5962.00,1026.00,5.80,18.00,3.00,336.00,381.00,596.00,4202.00,33.00,15.00,6.80,210.00,409.00,1760.00,13.00,4.30,97.00,112.00,1068.00,29.00,182.00,38.50,9.90,27.30,242.00,5.81,32.70,2.16,327.00,5482.00,997.00,5.50,23.00,10.00,313.00,381.00,590.00,3882.00,20.00,13.00,6.20,184.00,369.00,1600.00,15.00,4.30,95.00,109.00,920.00,34.00,177.00,34.50,11.90,28.70,243.00,5.80,30.90,1.82
baltimore,343.00,5563.00,1079.00,5.20,23.00,7.00,316.00,439.00,679.00,4100.00,20.00,16.00,5.80,205.00,367.00,1463.00,10.00,4.00,79.00,125.00,1111.00,32.00,191.00,35.60,10.50,28.90,235.00,5.85,29.10,1.70,321.00,5154.00,993.00,5.20,28.00,10.00,294.00,369.00,578.00,3724.00,28.00,18.00,6.10,190.00,384.00,1430.00,10.00,3.70,74.00,94.00,900.00,30.00,192.00,28.10,14.10,28.80,226.00,5.30,26.60,1.64
cincinnati,325.00,5711.00,1050.00,5.40,17.00,9.00,341.00,364.00,563.00,3942.00,18.00,8.00,6.50,204.00,446.00,1769.00,17.00,4.00,100.00,88.00,726.00,37.00,176.00,35.80,8.50,26.80,245.00,6.15,32.40,1.87,315.00,5612.00,1038.00,5.40,20.00,3.00,327.00,374.00,593.00,3800.00,22.00,17.00,6.10,196.00,412.00,1812.00,12.00,4.40,95.00,105.00,950.00,36.00,176.00,34.70,11.40,27.20,247.00,6.10,31.80,1.81
cleveland,264.00,4976.00,983.00,5.10,25.00,11.00,296.00,338.00,567.00,3264.00,15.00,14.00,5.20,181.00,350.00,1712.00,13.00,4.90,83.00,95.00,736.00,32.00,180.00,27.20,13.30,23.40,231.00,5.63,27.40,1.44,452.00,6279.00,1067.00,5.90,13.00,3.00,364.00,347.00,543.00,3996.00,36.00,10.00,7.00,220.00,498.00,2283.00,18.00,4.60,121.00,104.00,930.00,23.00,179.00,40.80,6.10,30.20,256.00,6.10,35.00,2.43
houston,279.00,5035.00,1071.00,4.70,24.00,8.00,305.00,347.00,583.00,3176.00,15.00,16.00,5.20,173.00,456.00,1859.00,8.00,4.10,102.00,87.00,868.00,30.00,185.00,31.40,11.40,28.60,244.00,6.02,27.20,1.44,328.00,4821.00,950.00,5.10,17.00,6.00,272.00,319.00,522.00,3226.00,20.00,11.00,5.80,157.00,397.00,1595.00,13.00,4.00,87.00,114.00,949.00,28.00,186.00,31.70,9.10,30.30,229.00,5.30,25.80,1.68
tennessee,381.00,5728.00,1008.00,5.70,18.00,7.00,322.00,307.00,504.00,3541.00,29.00,11.00,6.70,175.00,476.00,2187.00,16.00,4.60,115.00,110.00,1012.00,32.00,184.00,36.40,9.80,28.20,239.00,5.63,31.00,2.07,378.00,5720.00,1031.00,5.50,18.00,6.00,324.00,388.00,635.00,4307.00,25.00,12.00,6.40,227.00,356.00,1413.00,10.00,4.00,70.00,137.00,1191.00,27.00,177.00,35.00,9.00,26.70,240.00,6.00,32.20,1.84
indianapolis,411.00,5830.00,1037.00,5.60,22.00,7.00,351.00,370.00,584.00,4202.00,32.00,15.00,6.70,220.00,409.00,1628.00,13.00,4.00,93.00,103.00,883.00,38.00,180.00,40.60,12.20,28.30,245.00,5.94,32.30,2.24,392.00,6126.00,1024.00,6.00,17.00,9.00,353.00,378.00,582.00,4200.00,27.00,8.00,6.80,225.00,409.00,1926.00,12.00,4.70,93.00,125.00,1155.00,35.00,176.00,41.50,9.70,26.60,241.00,6.00,34.70,2.13
jacksonville,318.00,5359.00,1052.00,5.10,29.00,13.00,321.00,369.00,626.00,3728.00,24.00,16.00,5.60,207.00,392.00,1631.00,8.00,4.20,75.00,129.00,1187.00,39.00,191.00,31.40,13.60,26.60,227.00,5.71,28.00,1.63,400.00,5147.00,1030.00,5.00,13.00,6.00,305.00,345.00,551.00,3444.00,20.00,7.00,5.90,174.00,446.00,1703.00,17.00,3.80,93.00,101.00,948.00,38.00,191.00,39.30,5.80,31.60,235.00,5.60,26.80,1.95
kansascity,389.00,5488.00,990.00,5.50,17.00,9.00,305.00,365.00,546.00,3740.00,19.00,8.00,6.50,197.00,412.00,1748.00,15.00,4.20,86.00,109.00,848.00,22.00,178.00,37.10,9.00,30.50,245.00,5.79,30.70,1.90,311.00,5896.00,1063.00,5.50,33.00,15.00,342.00,350.00,598.00,3958.00,23.00,18.00,6.30,209.00,437.00,1938.00,10.00,4.40,102.00,109.00,797.00,31.00,182.00,31.90,16.50,26.90,242.00,6.00,32.30,1.68
oakland,416.00,5973.00,1048.00,5.70,14.00,7.00,333.00,379.00,596.00,4051.00,29.00,7.00,6.60,198.00,434.00,1922.00,17.00,4.40,98.00,147.00,1247.00,37.00,194.00,38.70,7.20,31.70,237.00,5.58,30.70,2.11,385.00,6001.00,987.00,6.10,30.00,14.00,318.00,328.00,541.00,4120.00,27.00,16.00,7.30,188.00,421.00,1881.00,18.00,4.50,94.00,115.00,1062.00,36.00,190.00,35.30,14.20,25.20,227.00,5.30,31.70,2.01
denver,333.00,5169.00,1020.00,5.10,25.00,14.00,290.00,339.00,570.00,3685.00,20.00,11.00,6.00,181.00,410.00,1484.00,11.00,3.60,76.00,119.00,985.00,33.00,198.00,30.30,11.60,29.10,221.00,5.33,26.10,1.54,297.00,5057.00,1076.00,4.70,27.00,13.00,306.00,306.00,552.00,2972.00,13.00,14.00,5.00,169.00,482.00,2085.00,15.00,4.30,101.00,110.00,990.00,36.00,197.00,29.40,12.20,29.30,235.00,5.70,25.60,1.47
sandiego,410.00,5708.00,1014.00,5.60,35.00,14.00,340.00,349.00,580.00,4198.00,33.00,21.00,6.80,214.00,398.00,1510.00,10.00,3.80,90.00,107.00,780.00,36.00,181.00,38.10,18.20,28.10,242.00,5.80,31.40,2.09,423.00,5554.00,1025.00,5.40,28.00,10.00,329.00,364.00,580.00,3987.00,21.00,18.00,6.50,204.00,410.00,1567.00,20.00,3.80,98.00,119.00,837.00,27.00,186.00,39.80,14.50,31.80,236.00,5.70,29.90,2.08
dallas,421.00,6027.00,1010.00,6.00,15.00,9.00,358.00,325.00,483.00,3631.00,25.00,6.00,7.10,191.00,499.00,2396.00,24.00,4.80,142.00,105.00,879.00,25.00,173.00,43.90,8.70,28.80,257.00,6.04,34.80,2.45,306.00,5503.00,1009.00,5.50,20.00,11.00,330.00,425.00,633.00,4167.00,25.00,9.00,6.20,226.00,340.00,1336.00,9.00,3.90,79.00,90.00,784.00,25.00,168.00,35.10,11.30,28.60,243.00,6.20,32.70,1.86
nygiants,310.00,5291.00,1018.00,5.20,27.00,11.00,289.00,377.00,598.00,3879.00,26.00,16.00,6.30,190.00,398.00,1412.00,6.00,3.50,73.00,88.00,857.00,26.00,193.00,27.50,13.00,27.60,221.00,5.40,27.40,1.49,284.00,5435.00,1062.00,5.10,25.00,8.00,298.00,369.00,630.00,4018.00,15.00,17.00,6.00,191.00,397.00,1417.00,10.00,3.60,82.00,104.00,853.00,25.00,197.00,29.90,12.20,27.80,234.00,5.60,27.60,1.41
washington,396.00,6454.00,1009.00,6.40,21.00,9.00,345.00,407.00,607.00,4758.00,25.00,12.00,7.60,226.00,379.00,1696.00,17.00,4.50,89.00,110.00,909.00,30.00,175.00,43.40,11.40,27.40,245.00,6.01,36.90,2.26,383.00,6046.00,1050.00,5.80,21.00,8.00,368.00,387.00,589.00,4130.00,22.00,13.00,6.60,225.00,423.00,1916.00,19.00,4.50,109.00,100.00,1023.00,34.00,169.00,38.50,11.80,27.80,255.00,6.40,35.70,2.12
philadelphia,367.00,5398.00,1080.00,5.00,20.00,6.00,333.00,380.00,609.00,3585.00,16.00,14.00,5.60,192.00,438.00,1813.00,16.00,4.10,114.00,113.00,945.00,27.00,178.00,37.60,11.20,30.30,255.00,6.31,30.10,1.85,331.00,5484.00,978.00,5.60,26.00,10.00,300.00,333.00,553.00,3832.00,25.00,16.00,6.50,177.00,391.00,1652.00,10.00,4.20,89.00,99.00,837.00,34.00,186.00,33.90,13.40,27.70,224.00,5.40,29.40,1.77
greenbay,432.00,5900.00,1029.00,5.70,17.00,9.00,349.00,403.00,620.00,4199.00,40.00,8.00,6.40,222.00,374.00,1701.00,11.00,4.50,91.00,100.00,827.00,36.00,176.00,43.80,9.10,29.60,250.00,6.03,33.60,2.47,388.00,5823.00,987.00,5.90,25.00,8.00,329.00,370.00,571.00,4308.00,32.00,17.00,7.10,227.00,376.00,1515.00,11.00,4.00,80.00,109.00,964.00,22.00,173.00,41.00,13.90,28.70,240.00,5.90,33.70,2.25
