name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,513.00,6848.00,1082.00,6.30,17.00,5.00,399.00,402.00,612.00,5084.00,39.00,12.00,7.90,262.00,438.00,1764.00,18.00,4.00,107.00,87.00,815.00,30.00,180.00,47.20,8.30,29.30,233.00,6.19,37.90,2.68,342.00,6577.00,1064.00,6.20,17.00,11.00,370.00,386.00,619.00,4703.00,26.00,23.00,7.10,245.00,405.00,1874.00,13.00,4.60,101.00,115.00,907.00,30.00,181.00,32.60,17.10,24.50,246.00,6.00,36.20,1.84
nyjets,377.00,4989.00,1030.00,4.80,34.00,16.00,301.00,310.00,547.00,3297.00,26.00,18.00,5.60,173.00,443.00,1692.00,14.00,3.80,92.00,102.00,849.00,36.00,203.00,29.60,13.80,30.90,226.00,5.20,24.40,1.69,363.00,4993.00,993.00,5.00,34.00,12.00,272.00,275.00,507.00,3216.00,15.00,19.00,5.90,167.00,451.00,1777.00,17.00,3.90,83.00,110.00,966.00,36.00,208.00,29.30,13.90,29.50,215.00,4.90,24.00,1.50
miami,329.00,5078.00,990.00,5.10,25.00,12.00,287.00,280.00,469.00,3091.00,20.00,13.00,5.90,166.00,469.00,1987.00,11.00,4.20,89.00,85.00,779.00,32.00,195.00,32.80,12.80,29.50,231.00,5.28,25.90,1.62,313.00,5522.00,1043.00,5.30,25.00,3.00,310.00,350.00,590.00,3992.00,24.00,16.00,6.30,198.00,412.00,1530.00,8.00,3.70,88.00,112.00,975.00,32.00,195.00,29.70,8.70,28.10,227.00,5.50,28.30,1.55
buffalo,372.00,5624.00,992.00,5.70,30.00,5.00,313.00,356.00,578.00,3703.00,24.00,25.00,6.20,180.00,391.00,1921.00,12.00,4.90,100.00,86.00,743.00,33.00,189.00,31.20,15.90,26.20,233.00,5.41,29.80,1.70,434.00,5938.00,1003.00,5.90,30.00,11.00,340.00,321.00,507.00,3714.00,30.00,20.00,6.90,196.00,467.00,2224.00,19.00,4.80,120.00,85.00,871.00,33.00,189.00,37.00,15.30,29.50,231.00,5.40,31.40,2.15
baltimore,378.00,5419.00,1036.00,5.20,24.00,12.00,312.00,314.00,544.00,3423.00,21.00,12.00,5.90,181.00,459.00,1996.00,15.00,4.30,98.00,92.00,742.00,33.00,186.00,35.50,11.80,28.90,238.00,5.78,29.10,1.84,266.00,4622.00,1002.00,4.60,24.00,11.00,269.00,288.00,535.00,3140.00,11.00,15.00,5.40,166.00,419.00,1482.00,10.00,3.50,79.00,103.00,1032.00,33.00,188.00,26.60,13.80,29.30,230.00,5.50,24.50,1.27
pittsburgh,325.00,5957.00,1015.00,5.90,28.00,13.00,341.00,341.00,539.00,4054.00,21.00,15.00,7.00,221.00,434.00,1903.00,13.00,4.40,96.00,101.00,854.00,24.00,168.00,33.90,16.70,26.80,306.00,6.23,35.40,1.83,227.00,4348.00,964.00,4.50,28.00,4.00,264.00,289.00,530.00,2751.00,15.00,11.00,4.90,156.00,399.00,1597.00,7.00,4.00,82.00,96.00,777.00,24.00,169.00,26.00,8.30,27.60,236.00,5.90,25.60,1.30
cincinnati,344.00,5118.00,1015.00,5.00,22.00,8.00,285.00,308.00,535.00,3340.00,21.00,14.00,6.00,160.00,455.00,1778.00,10.00,3.90,93.00,99.00,874.00,32.00,197.00,32.50,9.60,30.10,228.00,5.35,26.00,1.60,323.00,5060.00,1009.00,5.00,22.00,12.00,284.00,319.00,539.00,3385.00,21.00,10.00,5.80,170.00,425.00,1675.00,14.00,3.90,94.00,101.00,878.00,32.00,200.00,28.50,11.00,26.10,222.00,5.20,25.00,1.56
cleveland,218.00,4621.00,1024.00,4.50,19.00,6.00,278.00,320.00,570.00,3090.00,16.00,13.00,5.10,173.00,415.00,1531.00,4.00,3.70,77.00,95.00,847.00,28.00,180.00,24.40,10.00,27.10,236.00,5.85,25.60,1.18,307.00,5318.00,1035.00,5.10,19.00,11.00,301.00,265.00,469.00,2959.00,16.00,9.00,5.90,149.00,534.00,2359.00,12.00,4.40,124.00,90.00,726.00,28.00,174.00,33.30,11.50,29.70,251.00,6.10,30.50,1.64
houston,381.00,5954.00,1046.00,5.70,20.00,11.00,321.00,288.00,467.00,3506.00,20.00,9.00,7.00,176.00,546.00,2448.00,18.00,4.50,131.00,99.00,852.00,14.00,191.00,37.20,10.50,30.30,244.00,5.68,31.10,1.93,278.00,4571.00,960.00,4.80,20.00,10.00,270.00,279.00,538.00,3035.00,18.00,17.00,5.20,166.00,378.00,1536.00,8.00,4.10,73.00,88.00,686.00,14.00,188.00,29.80,13.80,27.90,220.00,5.30,24.30,1.45
tennessee,325.00,5361.00,984.00,5.40,22.00,8.00,281.00,353.00,584.00,3923.00,22.00,14.00,6.50,185.00,376.00,1438.00,8.00,3.80,71.00,104.00,960.00,25.00,188.00,31.40,11.70,27.40,222.00,5.40,28.50,1.58,317.00,5682.00,1080.00,5.30,22.00,12.00,324.00,369.00,591.00,3629.00,21.00,11.00,5.90,187.00,461.00,2053.00,10.00,4.50,111.00,99.00,812.00,25.00,187.00,31.00,12.30,25.70,245.00,5.90,30.30,1.59
jacksonville,243.00,4149.00,1002.00,4.10,23.00,8.00,251.00,240.00,469.00,2179.00,12.00,15.00,4.20,122.00,489.00,1970.00,9.00,4.00,103.00,77.00,680.00,26.00,194.00,22.70,11.30,28.80,229.00,5.29,20.80,1.11,329.00,5008.00,979.00,5.10,23.00,11.00,268.00,326.00,513.00,3341.00,21.00,17.00,6.10,175.00,435.00,1667.00,14.00,3.80,73.00,105.00,895.00,26.00,195.00,29.20,13.30,29.80,228.00,5.20,25.60,1.59
indianapolis,243.00,4589.00,951.00,4.80,29.00,15.00,258.00,302.00,534.00,2995.00,14.00,14.00,5.30,170.00,382.00,1594.00,8.00,4.20,69.00,76.00,549.00,19.00,186.00,24.20,15.60,23.50,215.00,5.26,24.60,1.20,430.00,5935.00,1062.00,5.60,29.00,9.00,343.00,351.00,493.00,3632.00,25.00,8.00,7.00,193.00,540.00,2303.00,19.00,4.30,136.00,84.00,804.00,19.00,186.00,39.20,9.10,30.80,254.00,5.90,31.90,2.12
denver,309.00,5066.00,1017.00,5.00,30.00,17.00,286.00,217.00,429.00,2434.00,20.00,13.00,5.20,130.00,546.00,2632.00,11.00,4.80,129.00,101.00,843.00,27.00,204.00,24.50,14.20,26.70,220.00,5.11,24.80,1.34,390.00,5725.00,1063.00,5.40,30.00,9.00,315.00,333.00,534.00,3704.00,24.00,9.00,6.40,182.00,488.00,2021.00,11.00,4.10,101.00,99.00,845.00,27.00,206.00,33.00,7.80,28.30,229.00,5.30,27.70,1.69
sandiego,406.00,6290.00,1048.00,6.00,28.00,8.00,359.00,366.00,582.00,4426.00,27.00,20.00,7.20,234.00,436.00,1864.00,16.00,4.30,97.00,91.00,753.00,28.00,172.00,41.30,16.30,27.90,301.00,6.30,36.60,2.24,377.00,5546.00,958.00,5.80,28.00,4.00,311.00,299.00,478.00,3591.00,29.00,17.00,7.00,186.00,448.00,1955.00,8.00,4.40,102.00,92.00,760.00,28.00,170.00,36.50,12.40,26.70,244.00,5.80,32.40,1.96
