name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,427.00,6357.00,1076.00,5.90,22.00,9.00,373.00,390.00,592.00,4436.00,28.00,13.00,7.30,222.00,466.00,1921.00,19.00,4.10,114.00,81.00,743.00,37.00,178.00,41.00,12.40,30.00,258.00,6.22,35.70,2.29,285.00,5123.00,941.00,5.40,22.00,10.00,289.00,300.00,512.00,3355.00,25.00,18.00,6.20,193.00,398.00,1768.00,6.00,4.40,80.00,91.00,780.00,37.00,179.00,25.10,14.00,27.40,226.00,5.40,28.40,1.45
nyjets,348.00,5136.00,1030.00,5.00,30.00,9.00,280.00,210.00,393.00,2380.00,12.00,21.00,5.60,131.00,607.00,2756.00,21.00,4.50,132.00,88.00,677.00,17.00,198.00,31.80,15.20,32.40,236.00,5.38,25.90,1.62,236.00,4037.00,953.00,4.20,30.00,14.00,237.00,259.00,501.00,2459.00,8.00,17.00,4.60,128.00,420.00,1578.00,11.00,3.80,87.00,87.00,680.00,17.00,187.00,20.30,14.40,28.80,227.00,5.20,21.60,1.02
miami,360.00,5401.00,1088.00,5.00,29.00,10.00,333.00,331.00,545.00,3170.00,15.00,19.00,5.50,188.00,509.00,2231.00,22.00,4.40,129.00,78.00,640.00,16.00,181.00,34.30,15.50,28.40,250.00,6.17,29.70,1.85,390.00,5589.00,968.00,5.80,29.00,6.00,297.00,281.00,489.00,3754.00,23.00,15.00,7.00,184.00,435.00,1835.00,16.00,4.20,88.00,73.00,589.00,16.00,186.00,38.70,11.30,30.70,226.00,5.40,30.00,2.00
buffalo,258.00,4382.00,911.00,4.80,30.00,11.00,233.00,256.00,441.00,2515.00,17.00,19.00,5.20,126.00,424.00,1867.00,6.00,4.40,81.00,107.00,855.00,26.00,188.00,27.10,13.80,30.30,224.00,5.02,23.30,1.30,326.00,5449.00,1086.00,5.00,30.00,5.00,310.00,295.00,519.00,2948.00,14.00,28.00,5.40,157.00,535.00,2501.00,19.00,4.70,134.00,107.00,919.00,26.00,192.00,28.60,16.70,29.70,243.00,5.80,28.30,1.55
cincinnati,305.00,4946.00,1011.00,4.90,25.00,12.00,295.00,286.00,477.00,2890.00,21.00,13.00,5.70,159.00,505.00,2056.00,9.00,4.10,109.00,114.00,863.00,27.00,177.00,29.90,13.00,29.70,256.00,5.87,27.80,1.58,291.00,4822.00,980.00,4.90,25.00,6.00,276.00,318.00,547.00,3249.00,18.00,19.00,5.60,165.00,399.00,1573.00,12.00,3.90,95.00,99.00,767.00,27.00,185.00,28.60,13.50,31.40,228.00,5.50,25.80,1.51
baltimore,391.00,5619.00,1014.00,5.50,22.00,9.00,320.00,321.00,510.00,3419.00,21.00,13.00,6.30,187.00,468.00,2200.00,22.00,4.70,115.00,115.00,1094.00,18.00,183.00,35.00,10.90,31.80,235.00,5.70,30.70,1.99,261.00,4808.00,991.00,4.90,22.00,10.00,280.00,306.00,524.00,3316.00,17.00,22.00,6.00,164.00,435.00,1492.00,8.00,3.40,82.00,88.00,741.00,18.00,186.00,26.30,16.70,26.90,240.00,5.50,25.80,1.33
pittsburgh,368.00,5941.00,1014.00,5.90,25.00,11.00,331.00,351.00,536.00,4148.00,28.00,14.00,7.10,210.00,428.00,1793.00,10.00,4.20,96.00,85.00,769.00,25.00,183.00,35.50,12.60,29.50,252.00,5.71,32.40,1.90,324.00,4885.00,967.00,5.10,25.00,10.00,274.00,319.00,548.00,3447.00,22.00,12.00,5.80,186.00,372.00,1438.00,7.00,3.90,70.00,102.00,903.00,25.00,178.00,28.70,12.40,28.70,233.00,5.60,27.40,1.51
cleveland,245.00,4163.00,971.00,4.30,31.00,13.00,237.00,219.00,443.00,2076.00,11.00,18.00,4.40,118.00,498.00,2087.00,10.00,4.20,102.00,77.00,678.00,17.00,189.00,23.30,16.40,30.50,227.00,5.27,21.90,1.14,375.00,6229.00,1072.00,5.80,31.00,9.00,336.00,313.00,526.00,3915.00,22.00,10.00,6.90,189.00,506.00,2314.00,15.00,4.60,120.00,101.00,812.00,17.00,186.00,36.00,8.60,28.60,245.00,6.00,33.50,1.88
indianapolis,416.00,5809.00,980.00,5.90,24.00,5.00,339.00,402.00,601.00,4515.00,34.00,19.00,7.40,241.00,366.00,1294.00,16.00,3.50,69.00,74.00,546.00,29.00,174.00,37.90,13.20,28.00,233.00,5.75,33.40,2.29,307.00,5427.00,1084.00,5.00,24.00,10.00,320.00,372.00,583.00,3403.00,19.00,16.00,5.50,203.00,467.00,2024.00,10.00,4.30,106.00,92.00,889.00,29.00,179.00,33.00,14.00,28.90,253.00,6.30,30.30,1.64
houston,388.00,6129.00,1043.00,5.90,28.00,11.00,340.00,399.00,593.00,4654.00,29.00,17.00,7.50,231.00,425.00,1475.00,13.00,3.50,93.00,95.00,833.00,16.00,187.00,33.70,15.00,30.20,244.00,5.75,32.80,1.91,333.00,5198.00,974.00,5.30,28.00,13.00,300.00,344.00,548.00,3487.00,19.00,14.00,6.00,175.00,396.00,1711.00,17.00,4.30,91.00,92.00,728.00,16.00,182.00,30.80,13.20,27.10,228.00,5.50,28.50,1.71
