name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
buffalo,93.00,1302.00,198.00,6.60,5.00,4.00,77.00,81.00,114.00,991.00,10.00,1.00,8.10,46.00,76.00,311.00,2.00,4.10,23.00,18.00,189.00,8.00,31.00,48.40,16.10,30.80,310.00,6.55,42.00,3.00,77.00,1142.00,191.00,6.00,5.00,2.00,71.00,75.00,114.00,824.00,5.00,2.00,6.80,43.00,69.00,318.00,4.00,4.60,23.00,15.00,145.00,8.00,32.00,40.60,12.50,24.80,234.00,6.10,35.30,2.34
newengland,87.00,1227.00,201.00,6.10,3.00,1.00,83.00,62.00,91.00,693.00,2.00,2.00,7.20,38.00,105.00,534.00,7.00,5.10,37.00,7.00,92.00,8.00,30.00,43.30,10.00,24.90,316.00,6.90,40.90,2.50,66.00,1073.00,174.00,6.20,3.00,3.00,64.00,65.00,90.00,706.00,7.00,4.00,7.40,35.00,79.00,367.00,1.00,4.60,23.00,19.00,143.00,8.00,30.00,36.70,23.30,26.90,244.00,5.90,35.80,2.17
miami,70.00,973.00,187.00,5.20,3.00,0.00,71.00,69.00,97.00,649.00,4.00,3.00,6.40,40.00,85.00,324.00,4.00,3.80,22.00,13.00,106.00,9.00,30.00,40.00,10.00,28.00,301.00,6.37,32.40,2.27,65.00,1198.00,185.00,6.50,3.00,3.00,74.00,69.00,96.00,797.00,4.00,1.00,7.70,37.00,82.00,401.00,5.00,4.90,30.00,17.00,165.00,9.00,30.00,33.30,13.30,24.10,259.00,6.20,39.90,2.20
nyjets,37.00,791.00,175.00,4.50,5.00,1.00,47.00,59.00,96.00,526.00,3.00,4.00,5.20,25.00,73.00,265.00,1.00,3.60,16.00,21.00,217.00,6.00,33.00,21.20,15.20,22.60,219.00,5.39,24.00,1.12,94.00,1116.00,196.00,5.70,5.00,2.00,69.00,74.00,98.00,717.00,5.00,1.00,6.90,43.00,92.00,399.00,4.00,4.30,17.00,16.00,178.00,6.00,32.00,43.80,9.40,33.70,314.00,6.40,34.90,2.44
pittsburgh,80.00,1146.00,204.00,5.60,3.00,2.00,63.00,73.00,109.00,727.00,7.00,1.00,6.40,42.00,90.00,419.00,2.00,4.70,19.00,15.00,124.00,2.00,35.00,40.00,5.70,31.20,248.00,5.97,32.50,2.23,58.00,870.00,183.00,4.80,3.00,1.00,56.00,64.00,107.00,708.00,6.00,4.00,5.80,40.00,61.00,162.00,1.00,2.70,8.00,12.00,104.00,2.00,34.00,29.40,14.70,31.00,225.00,5.50,25.20,1.71
cleveland,75.00,1040.00,188.00,5.50,4.00,2.00,62.00,53.00,85.00,529.00,5.00,2.00,5.90,31.00,99.00,511.00,5.00,5.20,26.00,22.00,206.00,5.00,32.00,37.50,12.50,33.00,249.00,5.97,32.50,2.38,88.00,1043.00,208.00,5.00,4.00,4.00,72.00,79.00,124.00,761.00,8.00,3.00,5.80,48.00,76.00,282.00,3.00,3.70,20.00,15.00,151.00,5.00,32.00,46.90,21.90,32.20,249.00,6.60,31.80,2.78
baltimore,91.00,1016.00,176.00,5.80,2.00,2.00,62.00,54.00,78.00,517.00,5.00,0.00,5.90,32.00,88.00,499.00,3.00,5.70,26.00,16.00,132.00,4.00,20.00,60.00,5.00,36.60,314.00,6.40,39.60,3.20,56.00,1127.00,198.00,5.70,2.00,4.00,67.00,77.00,117.00,806.00,6.00,2.00,6.60,47.00,75.00,321.00,1.00,4.30,13.00,18.00,140.00,4.00,21.00,23.80,23.80,22.50,238.00,6.10,29.00,1.10
cincinnati,66.00,952.00,225.00,4.20,3.00,2.00,73.00,91.00,141.00,714.00,5.00,1.00,4.60,53.00,70.00,238.00,1.00,3.40,14.00,20.00,162.00,6.00,36.00,38.90,8.30,30.10,240.00,6.50,25.70,1.83,74.00,1177.00,215.00,5.50,3.00,0.00,69.00,61.00,100.00,632.00,3.00,3.00,6.00,30.00,110.00,545.00,5.00,5.00,33.00,25.00,204.00,6.00,36.00,38.90,8.30,28.90,237.00,6.20,32.60,2.06
tennessee,80.00,1175.00,210.00,5.60,1.00,0.00,72.00,70.00,104.00,788.00,6.00,1.00,7.40,42.00,103.00,387.00,2.00,3.80,23.00,13.00,112.00,7.00,33.00,51.50,3.00,30.70,245.00,6.73,35.00,2.52,74.00,1267.00,195.00,6.50,1.00,2.00,71.00,68.00,105.00,769.00,7.00,4.00,7.10,43.00,86.00,498.00,3.00,5.80,25.00,16.00,136.00,7.00,33.00,36.40,18.20,23.20,242.00,6.00,37.90,2.30
indianapolis,84.00,1152.00,192.00,6.00,3.00,0.00,72.00,74.00,96.00,794.00,3.00,3.00,8.00,41.00,93.00,358.00,3.00,3.80,22.00,18.00,213.00,9.00,29.00,48.30,10.30,35.30,331.00,6.97,39.70,2.28,45.00,676.00,154.00,4.40,3.00,0.00,44.00,47.00,75.00,396.00,4.00,6.00,4.70,23.00,70.00,280.00,1.00,4.00,14.00,19.00,163.00,9.00,30.00,26.70,20.00,22.90,236.00,5.20,22.50,1.47
