name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,465.00,5991.00,1050.00,5.70,14.00,7.00,348.00,404.00,629.00,4587.00,36.00,7.00,6.90,230.00,383.00,1404.00,14.00,3.70,87.00,96.00,860.00,31.00,192.00,43.20,5.70,30.10,231.00,5.66,31.20,2.34,315.00,5430.00,1042.00,5.20,21.00,9.00,303.00,361.00,596.00,3852.00,24.00,12.00,6.00,204.00,397.00,1578.00,8.00,4.00,77.00,112.00,1013.00,22.00,190.00,28.90,10.50,24.20,232.00,5.60,28.60,1.54
nyjets,387.00,5925.00,1074.00,5.50,24.00,8.00,329.00,362.00,604.00,4057.00,33.00,16.00,6.50,210.00,448.00,1868.00,11.00,4.20,99.00,96.00,787.00,20.00,199.00,35.70,11.60,29.20,231.00,5.56,29.60,1.95,314.00,5098.00,1013.00,5.00,30.00,12.00,271.00,343.00,601.00,3763.00,25.00,18.00,5.90,185.00,373.00,1335.00,4.00,3.60,62.00,90.00,767.00,24.00,194.00,28.40,14.40,27.80,225.00,5.40,26.20,1.45
buffalo,379.00,5775.00,1016.00,5.70,19.00,10.00,297.00,295.00,465.00,3343.00,23.00,9.00,6.60,155.00,509.00,2432.00,19.00,4.80,122.00,143.00,1249.00,20.00,186.00,34.90,8.60,26.70,242.00,5.61,31.00,1.95,359.00,5702.00,1017.00,5.60,25.00,8.00,322.00,347.00,602.00,3972.00,30.00,17.00,6.40,198.00,394.00,1730.00,10.00,4.40,87.00,113.00,906.00,37.00,191.00,32.50,11.00,28.10,224.00,5.50,29.70,1.81
miami,310.00,5307.00,977.00,5.40,19.00,7.00,291.00,365.00,588.00,3811.00,24.00,12.00,6.00,194.00,344.00,1496.00,11.00,4.30,72.00,134.00,1090.00,25.00,187.00,25.70,9.60,26.00,221.00,5.31,28.30,1.52,389.00,6019.00,1076.00,5.60,16.00,3.00,351.00,350.00,542.00,4000.00,31.00,13.00,7.00,203.00,503.00,2019.00,13.00,4.00,112.00,121.00,1005.00,36.00,191.00,34.00,8.40,27.30,244.00,5.80,31.40,1.94
cincinnati,419.00,5728.00,1004.00,5.70,17.00,8.00,324.00,334.00,505.00,3923.00,31.00,9.00,7.30,191.00,467.00,1805.00,18.00,3.90,99.00,111.00,917.00,34.00,182.00,39.60,9.30,30.10,245.00,5.67,31.20,2.26,279.00,5453.00,1032.00,5.30,28.00,7.00,307.00,415.00,646.00,3976.00,18.00,21.00,5.80,202.00,344.00,1477.00,8.00,4.30,74.00,116.00,1063.00,31.00,180.00,28.90,15.00,24.70,239.00,5.90,30.30,1.44
pittsburgh,423.00,6327.00,1011.00,6.30,28.00,7.00,331.00,391.00,590.00,4603.00,26.00,21.00,7.40,207.00,388.00,1724.00,16.00,4.40,91.00,94.00,868.00,33.00,190.00,40.50,13.70,28.20,230.00,5.54,33.30,2.10,319.00,5809.00,1055.00,5.50,30.00,13.00,327.00,402.00,625.00,4350.00,29.00,17.00,6.50,231.00,382.00,1459.00,6.00,3.80,71.00,121.00,1199.00,25.00,189.00,32.30,14.30,28.30,237.00,5.70,30.50,1.71
baltimore,328.00,5749.00,1083.00,5.30,28.00,7.00,323.00,426.00,676.00,4271.00,21.00,21.00,6.10,211.00,383.00,1478.00,8.00,3.90,89.00,122.00,1153.00,23.00,186.00,33.30,14.00,27.10,238.00,6.04,30.80,1.62,401.00,5398.00,1000.00,5.40,14.00,8.00,311.00,350.00,545.00,3737.00,30.00,6.00,6.40,189.00,418.00,1661.00,10.00,4.00,80.00,103.00,748.00,42.00,187.00,37.40,7.00,28.00,237.00,5.50,28.80,1.98
cleveland,278.00,5311.00,1042.00,5.10,30.00,18.00,307.00,371.00,609.00,3782.00,20.00,12.00,5.70,192.00,380.00,1529.00,5.00,4.00,81.00,120.00,1083.00,34.00,178.00,29.80,15.20,27.40,247.00,6.03,29.80,1.46,432.00,6067.00,998.00,6.10,21.00,10.00,321.00,322.00,511.00,4012.00,34.00,11.00,7.40,186.00,458.00,2055.00,11.00,4.50,104.00,108.00,833.00,31.00,179.00,41.90,11.70,29.00,242.00,5.80,33.80,2.26
houston,339.00,5564.00,1127.00,4.90,20.00,8.00,335.00,358.00,619.00,3833.00,29.00,12.00,5.90,210.00,472.00,1731.00,7.00,3.70,90.00,107.00,910.00,35.00,204.00,28.90,9.80,25.50,225.00,5.66,27.30,1.57,313.00,4963.00,986.00,5.00,25.00,11.00,281.00,326.00,553.00,3366.00,24.00,14.00,5.60,173.00,388.00,1597.00,10.00,4.10,79.00,116.00,991.00,29.00,198.00,27.30,11.10,29.30,222.00,5.10,25.00,1.51
indianapolis,333.00,5142.00,1052.00,4.90,30.00,11.00,311.00,355.00,619.00,3704.00,26.00,19.00,5.60,195.00,396.00,1438.00,6.00,3.60,77.00,108.00,931.00,39.00,194.00,29.40,14.40,26.80,229.00,5.56,26.50,1.54,408.00,6066.00,1072.00,5.70,25.00,8.00,331.00,354.00,585.00,4114.00,29.00,17.00,6.60,210.00,452.00,1952.00,14.00,4.30,89.00,133.00,1168.00,32.00,194.00,36.60,12.40,27.40,234.00,5.70,31.10,1.98
