name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,589.00,6580.00,1058.00,6.20,15.00,6.00,393.00,403.00,586.00,4731.00,50.00,9.00,7.80,243.00,451.00,1849.00,17.00,4.10,124.00,78.00,690.00,26.00,167.00,52.70,7.80,32.30,307.00,6.48,39.30,3.19,274.00,4613.00,933.00,4.90,15.00,12.00,278.00,314.00,526.00,3041.00,23.00,19.00,5.30,172.00,360.00,1572.00,7.00,4.40,91.00,96.00,764.00,26.00,175.00,24.00,16.60,27.00,230.00,5.40,26.30,1.41
buffalo,252.00,4434.00,919.00,4.80,21.00,7.00,248.00,263.00,445.00,2634.00,12.00,14.00,5.60,141.00,448.00,1800.00,8.00,4.00,91.00,78.00,633.00,16.00,177.00,24.90,11.90,30.40,236.00,5.34,24.80,1.20,354.00,5807.00,1047.00,5.50,21.00,12.00,322.00,354.00,567.00,3814.00,19.00,18.00,6.40,203.00,454.00,1993.00,15.00,4.40,104.00,73.00,567.00,16.00,172.00,36.00,16.30,29.20,254.00,6.30,33.60,1.90
nyjets,268.00,4715.00,1011.00,4.70,25.00,6.00,286.00,310.00,512.00,3014.00,15.00,19.00,5.30,173.00,446.00,1701.00,6.00,3.80,92.00,63.00,486.00,21.00,171.00,29.20,14.00,30.30,243.00,6.13,27.50,1.37,355.00,5310.00,1016.00,5.20,25.00,6.00,315.00,289.00,470.00,3154.00,18.00,15.00,6.30,174.00,517.00,2156.00,14.00,4.20,128.00,93.00,761.00,21.00,169.00,36.10,12.40,29.50,302.00,6.20,31.40,1.84
miami,267.00,4600.00,989.00,4.70,29.00,13.00,283.00,318.00,558.00,3031.00,12.00,16.00,5.10,162.00,389.00,1569.00,14.00,4.00,107.00,91.00,732.00,14.00,175.00,26.90,16.00,27.70,242.00,5.78,26.00,1.40,437.00,5475.00,983.00,5.60,29.00,8.00,318.00,242.00,409.00,3019.00,28.00,14.00,6.90,165.00,544.00,2456.00,18.00,4.50,129.00,73.00,604.00,14.00,174.00,42.50,11.50,34.80,253.00,5.80,31.50,2.33
pittsburgh,393.00,5239.00,1000.00,5.20,22.00,8.00,298.00,282.00,442.00,3071.00,34.00,14.00,6.30,179.00,511.00,2168.00,9.00,4.20,108.00,80.00,651.00,11.00,175.00,37.70,11.40,32.40,304.00,5.86,29.80,2.11,269.00,4262.00,933.00,4.60,22.00,14.00,249.00,292.00,536.00,2824.00,22.00,11.00,4.90,158.00,361.00,1438.00,6.00,4.00,74.00,73.00,556.00,11.00,175.00,26.30,13.10,29.70,227.00,5.50,24.20,1.43
cleveland,402.00,5621.00,1004.00,5.60,29.00,9.00,315.00,305.00,545.00,3726.00,29.00,20.00,6.60,192.00,440.00,1895.00,13.00,4.30,110.00,114.00,868.00,13.00,192.00,35.40,14.60,33.20,227.00,5.39,29.20,1.94,382.00,5753.00,1066.00,5.40,29.00,10.00,335.00,340.00,578.00,3681.00,29.00,17.00,6.10,211.00,460.00,2072.00,8.00,4.50,100.00,80.00,581.00,13.00,187.00,36.90,13.40,32.10,240.00,5.90,30.60,1.90
cincinnati,380.00,5568.00,1008.00,5.50,30.00,10.00,320.00,373.00,575.00,4012.00,26.00,20.00,6.80,213.00,416.00,1556.00,10.00,3.70,81.00,90.00,670.00,26.00,177.00,37.90,15.30,31.10,239.00,5.89,31.40,1.95,385.00,5580.00,1011.00,5.50,30.00,16.00,313.00,353.00,540.00,3687.00,29.00,19.00,6.60,200.00,449.00,1893.00,11.00,4.20,98.00,88.00,712.00,26.00,181.00,35.90,18.80,31.90,242.00,5.70,30.70,1.96
baltimore,275.00,4832.00,1042.00,4.60,40.00,26.00,291.00,341.00,557.00,3035.00,13.00,14.00,5.10,175.00,446.00,1797.00,11.00,4.00,96.00,107.00,873.00,20.00,186.00,27.40,18.30,29.50,241.00,5.78,25.90,1.34,384.00,4825.00,968.00,5.00,40.00,6.00,258.00,293.00,490.00,3557.00,27.00,17.00,6.80,162.00,446.00,1268.00,9.00,2.80,69.00,84.00,728.00,20.00,196.00,37.20,10.70,34.90,225.00,5.20,24.60,1.85
indianapolis,450.00,5739.00,1020.00,5.60,19.00,5.00,357.00,355.00,551.00,4033.00,32.00,14.00,7.00,212.00,446.00,1706.00,19.00,3.80,119.00,67.00,515.00,26.00,166.00,44.60,11.40,31.80,252.00,6.32,34.60,2.57,262.00,4475.00,980.00,4.60,19.00,15.00,288.00,325.00,498.00,2764.00,16.00,22.00,5.30,162.00,454.00,1711.00,10.00,3.80,111.00,85.00,722.00,26.00,162.00,25.30,21.60,29.10,259.00,6.20,27.70,1.40
jacksonville,411.00,5719.00,1022.00,5.60,21.00,13.00,328.00,288.00,469.00,3328.00,28.00,8.00,6.70,180.00,522.00,2391.00,18.00,4.60,127.00,76.00,594.00,21.00,169.00,39.60,10.10,30.20,302.00,6.20,33.80,2.28,304.00,5021.00,970.00,5.20,21.00,10.00,286.00,319.00,543.00,3416.00,20.00,20.00,5.90,181.00,390.00,1605.00,12.00,4.10,92.00,82.00,636.00,21.00,171.00,29.20,17.00,29.60,236.00,5.80,29.40,1.63
