name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,436.00,6295.00,1073.00,5.90,18.00,7.00,365.00,378.00,574.00,4258.00,29.00,11.00,7.20,206.00,478.00,2037.00,18.00,4.30,131.00,93.00,744.00,28.00,184.00,40.80,9.20,29.90,242.00,6.05,34.20,2.27,325.00,5746.00,1002.00,5.70,28.00,10.00,322.00,370.00,605.00,3943.00,29.00,18.00,6.20,208.00,367.00,1803.00,7.00,4.90,93.00,91.00,838.00,21.00,187.00,32.60,15.00,29.10,228.00,5.50,30.70,1.75
miami,319.00,4638.00,878.00,5.30,23.00,10.00,252.00,292.00,455.00,2900.00,26.00,13.00,5.70,153.00,371.00,1738.00,7.00,4.70,75.00,108.00,978.00,24.00,184.00,28.30,12.50,29.40,227.00,4.92,25.00,1.59,433.00,6257.00,1024.00,6.10,28.00,7.00,350.00,335.00,508.00,3932.00,31.00,21.00,7.30,195.00,485.00,2325.00,17.00,4.80,116.00,107.00,856.00,39.00,183.00,39.90,14.20,28.90,251.00,5.80,34.20,2.27
buffalo,269.00,4778.00,1008.00,4.70,32.00,9.00,283.00,271.00,499.00,2794.00,13.00,23.00,5.20,137.00,468.00,1984.00,15.00,4.20,108.00,116.00,992.00,38.00,193.00,26.40,15.50,29.70,232.00,5.47,24.60,1.39,374.00,4706.00,968.00,4.90,27.00,11.00,293.00,313.00,492.00,2867.00,22.00,16.00,5.40,157.00,440.00,1839.00,17.00,4.20,111.00,99.00,976.00,25.00,189.00,33.30,14.30,32.60,230.00,5.30,24.80,1.83
nyjets,333.00,4787.00,971.00,4.90,30.00,11.00,258.00,299.00,524.00,3165.00,18.00,19.00,5.60,157.00,410.00,1622.00,11.00,4.00,84.00,114.00,948.00,17.00,197.00,32.00,14.70,30.70,222.00,5.15,24.20,1.57,441.00,6086.00,1061.00,5.70,20.00,7.00,343.00,367.00,582.00,4065.00,29.00,13.00,6.50,201.00,440.00,2021.00,16.00,4.60,104.00,95.00,817.00,38.00,202.00,39.10,9.90,30.70,228.00,5.50,30.10,2.08
baltimore,389.00,5999.00,1135.00,5.30,20.00,11.00,367.00,334.00,556.00,3558.00,18.00,9.00,6.10,184.00,547.00,2441.00,19.00,4.50,153.00,116.00,940.00,30.00,177.00,40.70,10.70,29.50,258.00,6.59,33.70,2.06,287.00,4687.00,974.00,4.80,17.00,5.00,286.00,337.00,577.00,3360.00,21.00,12.00,5.40,174.00,354.00,1327.00,11.00,3.70,82.00,113.00,1017.00,30.00,179.00,29.10,9.50,28.40,231.00,5.60,26.00,1.59
pittsburgh,428.00,6453.00,1058.00,6.10,26.00,9.00,378.00,459.00,689.00,5008.00,35.00,17.00,7.00,251.00,345.00,1445.00,16.00,4.20,88.00,111.00,1026.00,39.00,182.00,36.80,14.30,26.00,244.00,5.93,35.50,2.23,360.00,5235.00,987.00,5.30,15.00,7.00,317.00,362.00,566.00,3697.00,27.00,8.00,6.00,200.00,369.00,1538.00,13.00,4.20,84.00,136.00,1170.00,33.00,184.00,33.70,8.20,28.60,235.00,5.50,28.40,1.88
cleveland,359.00,5900.00,1023.00,5.80,24.00,7.00,314.00,353.00,574.00,4007.00,29.00,17.00,6.50,189.00,411.00,1893.00,15.00,4.60,93.00,112.00,894.00,32.00,202.00,31.20,11.40,28.50,220.00,5.21,29.20,1.81,392.00,6288.00,1122.00,5.60,31.00,14.00,377.00,393.00,626.00,4125.00,21.00,17.00,6.20,216.00,459.00,2163.00,20.00,4.70,130.00,119.00,990.00,31.00,201.00,35.30,15.40,28.90,237.00,5.80,31.00,1.88
cincinnati,368.00,4972.00,938.00,5.30,17.00,4.00,304.00,331.00,542.00,3290.00,27.00,13.00,5.70,182.00,359.00,1682.00,13.00,4.70,92.00,114.00,957.00,30.00,166.00,35.50,9.60,29.00,239.00,5.78,29.70,2.03,455.00,6618.00,1084.00,6.10,18.00,6.00,372.00,389.00,584.00,4414.00,32.00,12.00,7.10,221.00,466.00,2204.00,17.00,4.70,125.00,113.00,944.00,26.00,177.00,46.30,10.20,28.80,257.00,6.30,37.40,2.50
houston,402.00,5802.00,1040.00,5.60,16.00,7.00,333.00,345.00,506.00,3781.00,26.00,9.00,6.70,202.00,472.00,2021.00,12.00,4.30,94.00,105.00,787.00,37.00,186.00,40.30,8.10,31.30,239.00,5.84,31.10,2.03,316.00,5490.00,1022.00,5.40,29.00,14.00,298.00,385.00,594.00,4167.00,28.00,15.00,6.50,200.00,385.00,1323.00,8.00,3.40,76.00,117.00,945.00,22.00,187.00,31.60,13.90,25.50,236.00,5.60,29.40,1.72
indianapolis,433.00,6179.00,1070.00,5.80,24.00,9.00,371.00,432.00,644.00,4461.00,39.00,15.00,6.70,237.00,408.00,1718.00,13.00,4.20,96.00,120.00,953.00,38.00,182.00,41.20,13.20,29.80,239.00,6.04,33.90,2.38,344.00,5435.00,997.00,5.50,26.00,11.00,315.00,384.00,542.00,3805.00,21.00,15.00,6.60,203.00,417.00,1630.00,12.00,3.90,87.00,131.00,1115.00,25.00,172.00,35.50,14.50,27.60,251.00,6.00,31.60,1.83
