name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,444.00,6152.00,1138.00,5.40,20.00,9.00,378.00,380.00,628.00,4087.00,25.00,11.00,6.10,225.00,470.00,2065.00,19.00,4.40,110.00,69.00,625.00,43.00,201.00,40.80,10.00,30.00,225.00,5.87,30.60,2.10,338.00,5969.00,1118.00,5.30,29.00,12.00,338.00,336.00,589.00,3824.00,25.00,17.00,6.00,208.00,481.00,2145.00,11.00,4.50,110.00,110.00,951.00,20.00,196.00,29.60,13.30,24.10,232.00,5.80,30.30,1.62
nyjets,290.00,5090.00,1020.00,5.00,29.00,7.00,280.00,266.00,480.00,2932.00,13.00,22.00,5.60,154.00,493.00,2158.00,12.00,4.40,105.00,108.00,837.00,21.00,196.00,29.60,14.80,26.00,228.00,5.39,25.80,1.40,387.00,5359.00,1048.00,5.10,15.00,2.00,293.00,345.00,586.00,3947.00,26.00,13.00,6.30,198.00,421.00,1412.00,9.00,3.40,68.00,92.00,833.00,27.00,192.00,35.40,7.30,30.60,232.00,5.70,28.00,1.79
miami,317.00,5007.00,1001.00,5.00,26.00,7.00,278.00,357.00,594.00,3567.00,24.00,19.00,5.50,205.00,349.00,1440.00,8.00,4.10,61.00,70.00,598.00,12.00,194.00,29.90,13.40,27.90,222.00,5.34,25.60,1.56,335.00,5750.00,1106.00,5.20,24.00,6.00,327.00,344.00,580.00,3752.00,17.00,18.00,6.00,192.00,484.00,1998.00,14.00,4.10,114.00,95.00,748.00,21.00,194.00,33.50,11.90,26.80,237.00,5.90,29.60,1.64
buffalo,339.00,5410.00,1116.00,4.80,27.00,12.00,301.00,299.00,522.00,3103.00,16.00,15.00,5.40,149.00,546.00,2307.00,15.00,4.20,113.00,110.00,954.00,39.00,214.00,29.90,12.10,26.80,209.00,5.38,25.20,1.48,388.00,5334.00,1089.00,4.90,30.00,7.00,308.00,310.00,561.00,3271.00,28.00,23.00,5.30,170.00,471.00,2063.00,10.00,4.40,98.00,108.00,931.00,40.00,214.00,32.20,14.00,31.20,223.00,5.30,24.70,1.68
cincinnati,430.00,5891.00,1097.00,5.40,30.00,10.00,330.00,364.00,587.00,4136.00,33.00,20.00,6.70,205.00,481.00,1755.00,14.00,3.60,101.00,102.00,1000.00,24.00,201.00,32.30,14.90,26.90,237.00,5.57,29.20,1.91,305.00,4888.00,1042.00,4.70,31.00,11.00,282.00,362.00,614.00,3344.00,22.00,20.00,5.10,178.00,385.00,1544.00,6.00,4.00,72.00,69.00,692.00,32.00,197.00,27.40,15.20,29.50,220.00,5.40,24.80,1.39
pittsburgh,379.00,5400.00,1023.00,5.30,24.00,10.00,312.00,377.00,586.00,4017.00,28.00,14.00,6.40,207.00,394.00,1383.00,9.00,3.50,81.00,80.00,677.00,24.00,189.00,35.40,12.70,29.80,237.00,5.58,28.60,1.85,370.00,5395.00,1036.00,5.20,20.00,10.00,303.00,329.00,569.00,3546.00,21.00,10.00,5.90,174.00,433.00,1849.00,18.00,4.30,106.00,92.00,798.00,23.00,190.00,35.30,10.50,30.50,227.00,5.60,28.40,1.88
baltimore,320.00,4918.00,1090.00,4.50,29.00,6.00,295.00,363.00,619.00,3590.00,19.00,23.00,5.40,189.00,423.00,1328.00,7.00,3.10,68.00,112.00,942.00,38.00,207.00,30.90,13.50,29.10,221.00,5.46,23.70,1.43,352.00,5368.00,1032.00,5.20,24.00,8.00,284.00,314.00,552.00,3681.00,25.00,16.00,6.20,176.00,440.00,1687.00,7.00,3.80,79.00,126.00,1196.00,29.00,204.00,31.40,10.30,28.30,224.00,5.20,26.30,1.57
cleveland,308.00,5423.00,1078.00,5.00,29.00,9.00,301.00,379.00,681.00,4040.00,26.00,20.00,5.50,200.00,348.00,1383.00,4.00,4.00,77.00,104.00,920.00,24.00,195.00,26.20,13.80,26.40,221.00,5.66,27.80,1.40,406.00,5319.00,1107.00,4.80,21.00,7.00,328.00,363.00,605.00,3538.00,29.00,14.00,5.50,197.00,462.00,1781.00,13.00,3.90,103.00,95.00,745.00,28.00,203.00,34.00,9.90,31.00,228.00,5.60,26.10,1.85
indianapolis,391.00,5468.00,1023.00,5.30,14.00,4.00,318.00,350.00,582.00,3725.00,23.00,10.00,6.10,191.00,409.00,1743.00,15.00,4.30,88.00,66.00,576.00,39.00,188.00,38.80,6.90,28.00,232.00,5.65,29.10,1.97,336.00,5713.00,1026.00,5.60,27.00,12.00,319.00,324.00,536.00,3711.00,21.00,15.00,6.40,191.00,448.00,2002.00,14.00,4.50,101.00,112.00,990.00,27.00,183.00,31.70,13.70,25.90,239.00,5.80,31.20,1.72
tennessee,362.00,5390.00,1032.00,5.20,25.00,9.00,311.00,328.00,533.00,3496.00,22.00,16.00,6.10,172.00,462.00,1894.00,16.00,4.10,103.00,101.00,900.00,36.00,184.00,34.20,11.40,27.90,238.00,5.77,29.10,1.85,381.00,5407.00,1027.00,5.30,25.00,12.00,329.00,344.00,545.00,3612.00,15.00,13.00,6.20,191.00,446.00,1795.00,21.00,4.00,108.00,95.00,779.00,30.00,190.00,35.80,13.20,28.70,233.00,5.60,28.30,1.83
