name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,518.00,5820.00,986.00,5.90,10.00,5.00,335.00,331.00,507.00,3847.00,37.00,5.00,7.20,196.00,454.00,1973.00,19.00,4.30,119.00,83.00,766.00,20.00,166.00,47.00,5.40,32.10,250.00,6.09,35.00,2.76,313.00,5864.00,1056.00,5.60,38.00,13.00,348.00,388.00,611.00,4136.00,25.00,25.00,6.40,226.00,409.00,1728.00,10.00,4.20,99.00,84.00,687.00,23.00,176.00,30.70,21.00,28.20,251.00,6.10,33.20,1.72
nyjets,367.00,5616.00,1087.00,5.20,21.00,7.00,307.00,288.00,525.00,3242.00,20.00,14.00,5.90,171.00,534.00,2374.00,14.00,4.40,118.00,103.00,934.00,18.00,199.00,32.20,10.60,32.80,237.00,5.66,28.20,1.65,304.00,4664.00,979.00,4.80,30.00,18.00,272.00,269.00,531.00,3210.00,24.00,12.00,5.60,169.00,408.00,1454.00,11.00,3.60,70.00,74.00,679.00,33.00,201.00,26.40,13.90,28.10,216.00,5.00,22.90,1.49
miami,273.00,5170.00,1040.00,5.00,31.00,10.00,300.00,335.00,557.00,3527.00,17.00,21.00,5.90,189.00,445.00,1643.00,8.00,3.70,91.00,72.00,595.00,20.00,185.00,29.70,15.70,28.60,240.00,5.84,27.70,1.43,333.00,4949.00,988.00,5.00,19.00,8.00,264.00,288.00,502.00,3348.00,22.00,11.00,6.20,166.00,447.00,1601.00,8.00,3.60,84.00,85.00,730.00,14.00,181.00,31.50,9.90,30.90,236.00,5.60,27.30,1.61
buffalo,283.00,4878.00,954.00,5.10,39.00,18.00,263.00,296.00,519.00,3158.00,24.00,21.00,5.70,166.00,401.00,1720.00,6.00,4.30,82.00,82.00,633.00,15.00,182.00,25.30,19.20,29.20,231.00,5.36,26.80,1.42,425.00,5786.00,1071.00,5.40,22.00,11.00,335.00,294.00,473.00,3072.00,28.00,11.00,6.10,179.00,571.00,2714.00,18.00,4.80,138.00,85.00,634.00,18.00,191.00,39.30,10.50,33.90,248.00,5.80,30.30,2.14
pittsburgh,375.00,5525.00,993.00,5.60,18.00,9.00,295.00,298.00,479.00,3601.00,22.00,9.00,6.90,175.00,471.00,1924.00,15.00,4.10,106.00,100.00,903.00,14.00,179.00,36.90,9.50,31.50,254.00,5.76,30.80,1.93,232.00,4429.00,974.00,4.50,35.00,14.00,272.00,363.00,593.00,3425.00,15.00,21.00,5.30,182.00,333.00,1004.00,5.00,3.00,61.00,86.00,716.00,29.00,179.00,25.70,17.30,30.20,233.00,5.60,24.70,1.22
baltimore,357.00,5166.00,1018.00,5.10,20.00,10.00,303.00,308.00,491.00,3335.00,25.00,10.00,6.30,175.00,487.00,1831.00,11.00,3.80,97.00,90.00,673.00,31.00,189.00,32.80,9.50,29.80,239.00,5.54,27.20,1.75,270.00,5102.00,1007.00,5.10,27.00,8.00,284.00,349.00,596.00,3599.00,22.00,19.00,5.80,187.00,384.00,1503.00,5.00,3.90,79.00,117.00,984.00,18.00,185.00,29.20,13.50,27.20,235.00,5.60,27.30,1.46
cleveland,271.00,4635.00,927.00,5.00,29.00,11.00,265.00,296.00,478.00,2989.00,13.00,18.00,5.80,154.00,413.00,1646.00,13.00,4.00,87.00,78.00,675.00,24.00,177.00,27.70,15.80,29.80,234.00,5.40,26.10,1.42,332.00,5601.00,1041.00,5.40,28.00,9.00,317.00,309.00,507.00,3531.00,26.00,19.00,6.60,195.00,505.00,2070.00,7.00,4.10,102.00,85.00,741.00,20.00,176.00,34.10,15.30,28.70,258.00,6.10,31.80,1.77
cincinnati,322.00,5289.00,1046.00,5.10,34.00,14.00,317.00,365.00,590.00,3767.00,26.00,20.00,6.10,206.00,428.00,1522.00,8.00,3.60,85.00,90.00,725.00,26.00,190.00,30.50,16.30,31.20,238.00,5.67,27.90,1.63,395.00,5312.00,957.00,5.60,26.00,10.00,290.00,326.00,514.00,3469.00,21.00,16.00,6.40,170.00,416.00,1843.00,15.00,4.40,97.00,95.00,776.00,23.00,182.00,35.20,13.20,29.70,232.00,5.40,29.20,1.85
indianapolis,435.00,6092.00,1088.00,5.60,25.00,8.00,366.00,450.00,679.00,4609.00,33.00,17.00,6.60,253.00,393.00,1483.00,13.00,3.80,87.00,79.00,709.00,26.00,179.00,40.20,13.40,27.50,240.00,6.23,34.00,2.23,388.00,5465.00,1010.00,5.40,21.00,11.00,314.00,356.00,535.00,3433.00,22.00,10.00,6.10,190.00,445.00,2032.00,14.00,4.60,111.00,95.00,812.00,13.00,181.00,37.00,10.50,28.80,242.00,5.80,30.00,1.91
jacksonville,353.00,5460.00,1019.00,5.40,33.00,12.00,330.00,291.00,469.00,3065.00,26.00,21.00,6.00,161.00,512.00,2395.00,14.00,4.70,148.00,83.00,675.00,21.00,177.00,35.00,16.90,30.20,253.00,5.92,30.70,1.95,419.00,5949.00,948.00,6.30,18.00,5.00,316.00,329.00,506.00,4004.00,28.00,13.00,7.50,197.00,416.00,1945.00,19.00,4.70,98.00,85.00,748.00,21.00,174.00,40.20,9.80,28.20,236.00,5.60,34.10,2.29
