name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,468.00,5848.00,1073.00,5.50,13.00,4.00,361.00,392.00,609.00,4121.00,34.00,9.00,6.50,228.00,438.00,1727.00,13.00,3.90,96.00,120.00,1080.00,37.00,181.00,45.30,7.20,30.60,237.00,6.13,32.30,2.40,313.00,5506.00,1033.00,5.30,25.00,9.00,329.00,342.00,574.00,3837.00,24.00,16.00,6.20,196.00,419.00,1669.00,6.00,4.00,88.00,92.00,752.00,45.00,182.00,32.40,13.20,25.50,240.00,5.90,30.20,1.63
buffalo,343.00,5096.00,1020.00,5.00,23.00,10.00,273.00,363.00,579.00,3614.00,23.00,13.00,5.80,186.00,402.00,1482.00,7.00,3.70,65.00,124.00,1031.00,22.00,197.00,32.50,11.20,30.20,225.00,5.37,25.80,1.58,289.00,4995.00,1027.00,4.90,30.00,11.00,302.00,337.00,559.00,3292.00,16.00,19.00,5.40,171.00,414.00,1703.00,10.00,4.10,89.00,104.00,849.00,42.00,198.00,28.30,14.10,26.90,228.00,5.40,25.20,1.37
miami,388.00,5601.00,1040.00,5.40,23.00,11.00,361.00,394.00,595.00,3729.00,27.00,12.00,5.80,226.00,399.00,1872.00,12.00,4.70,99.00,81.00,635.00,36.00,181.00,37.60,10.50,31.10,240.00,5.95,30.90,1.99,373.00,5494.00,1029.00,5.30,25.00,11.00,309.00,338.00,537.00,3557.00,27.00,14.00,6.20,194.00,453.00,1937.00,13.00,4.30,99.00,105.00,920.00,16.00,180.00,36.70,13.30,29.50,239.00,5.90,30.30,1.99
nyjets,283.00,5226.00,1052.00,5.00,24.00,9.00,289.00,287.00,498.00,2946.00,16.00,15.00,5.40,154.00,507.00,2280.00,11.00,4.50,112.00,109.00,932.00,23.00,186.00,31.70,11.80,27.80,240.00,5.87,28.00,1.53,401.00,5235.00,976.00,5.40,13.00,7.00,300.00,345.00,538.00,3746.00,31.00,6.00,6.40,194.00,393.00,1489.00,10.00,3.80,74.00,91.00,780.00,32.00,183.00,37.20,5.50,28.50,234.00,5.50,28.40,2.03
pittsburgh,436.00,6577.00,1068.00,6.20,21.00,11.00,379.00,411.00,612.00,4825.00,33.00,10.00,7.50,243.00,423.00,1752.00,10.00,4.10,98.00,103.00,834.00,38.00,174.00,41.40,11.50,25.70,259.00,6.32,37.50,2.23,368.00,5654.00,944.00,6.00,21.00,10.00,314.00,350.00,543.00,4049.00,30.00,11.00,7.00,193.00,368.00,1605.00,9.00,4.40,88.00,97.00,835.00,33.00,174.00,39.70,11.50,27.50,232.00,5.60,32.40,2.09
cincinnati,365.00,5568.00,1018.00,5.50,26.00,9.00,313.00,323.00,503.00,3421.00,20.00,17.00,6.50,164.00,492.00,2147.00,19.00,4.40,122.00,102.00,812.00,27.00,191.00,34.00,13.10,30.30,233.00,5.50,29.10,1.84,344.00,5749.00,1067.00,5.40,26.00,6.00,337.00,365.00,608.00,3888.00,18.00,20.00,6.20,197.00,439.00,1861.00,16.00,4.20,105.00,105.00,876.00,35.00,184.00,32.60,13.60,26.20,239.00,6.00,31.10,1.72
baltimore,409.00,5838.00,1021.00,5.70,20.00,8.00,345.00,344.00,554.00,3819.00,27.00,12.00,6.70,194.00,448.00,2019.00,16.00,4.50,113.00,111.00,870.00,38.00,182.00,39.60,9.90,28.70,236.00,5.80,32.00,2.13,302.00,5391.00,1034.00,5.20,22.00,11.00,311.00,382.00,595.00,3979.00,22.00,11.00,6.20,205.00,390.00,1412.00,8.00,3.60,75.00,110.00,1007.00,31.00,180.00,33.30,11.70,27.30,242.00,5.90,29.80,1.67
cleveland,299.00,5193.00,1010.00,5.10,23.00,7.00,294.00,274.00,502.00,3465.00,12.00,16.00,6.50,179.00,477.00,1728.00,17.00,3.60,88.00,116.00,932.00,27.00,193.00,28.00,10.90,26.80,220.00,5.40,26.80,1.44,337.00,5857.00,1118.00,5.20,29.00,8.00,348.00,335.00,587.00,3592.00,22.00,21.00,5.80,184.00,500.00,2265.00,13.00,4.50,126.00,98.00,769.00,38.00,198.00,32.30,13.60,27.50,234.00,5.80,29.30,1.68
indianapolis,458.00,6506.00,1105.00,5.90,31.00,15.00,371.00,410.00,661.00,4894.00,42.00,16.00,7.10,251.00,415.00,1612.00,9.00,3.90,80.00,105.00,848.00,40.00,205.00,39.50,14.60,28.70,229.00,5.54,31.60,2.18,369.00,5483.00,1007.00,5.40,26.00,14.00,309.00,320.00,543.00,3669.00,27.00,12.00,6.30,175.00,423.00,1814.00,14.00,4.30,103.00,101.00,866.00,31.00,199.00,28.10,12.60,25.50,216.00,5.20,27.50,1.67
houston,372.00,5513.00,1062.00,5.20,22.00,9.00,313.00,295.00,485.00,3352.00,22.00,13.00,6.60,171.00,551.00,2161.00,12.00,3.90,108.00,94.00,834.00,34.00,194.00,33.00,11.30,27.70,234.00,5.65,28.20,1.69,307.00,5571.00,1077.00,5.20,34.00,14.00,329.00,363.00,619.00,3890.00,28.00,20.00,5.90,206.00,420.00,1681.00,6.00,4.00,89.00,99.00,786.00,34.00,199.00,26.60,16.10,27.60,222.00,5.50,27.80,1.48
