name,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
newengland,420.00,5664.00,1095.00,5.20,15.00,6.00,338.00,378.00,620.00,3961.00,25.00,9.00,6.10,197.00,447.00,1703.00,17.00,3.80,110.00,94.00,828.00,31.00,185.00,36.80,7.60,32.50,240.00,5.97,29.90,1.99,225.00,4414.00,948.00,4.70,36.00,11.00,261.00,303.00,536.00,2886.00,13.00,25.00,5.00,150.00,365.00,1528.00,7.00,4.20,72.00,107.00,920.00,39.00,191.00,19.40,17.30,24.80,220.00,5.00,22.80,1.00
buffalo,314.00,5283.00,1018.00,5.20,19.00,7.00,314.00,299.00,513.00,3229.00,21.00,12.00,5.80,162.00,465.00,2054.00,13.00,4.40,120.00,117.00,927.00,32.00,183.00,30.60,10.40,28.90,234.00,5.62,28.60,1.66,259.00,4772.00,985.00,4.80,23.00,9.00,295.00,348.00,553.00,3123.00,15.00,14.00,5.20,169.00,388.00,1649.00,12.00,4.30,93.00,94.00,815.00,33.00,178.00,23.60,12.40,27.70,239.00,5.60,26.20,1.29
nyjets,276.00,4368.00,956.00,4.60,25.00,9.00,253.00,323.00,521.00,3111.00,19.00,16.00,5.40,162.00,383.00,1257.00,6.00,3.30,61.00,115.00,1105.00,30.00,183.00,23.00,11.50,26.40,228.00,5.23,23.10,1.21,359.00,5170.00,1037.00,5.00,21.00,9.00,302.00,363.00,585.00,3779.00,25.00,12.00,6.10,187.00,417.00,1391.00,12.00,3.30,75.00,107.00,902.00,40.00,189.00,34.40,10.10,31.40,235.00,5.60,26.70,1.81
miami,306.00,4960.00,1022.00,4.90,26.00,8.00,315.00,371.00,615.00,3804.00,22.00,18.00,5.70,210.00,349.00,1156.00,10.00,3.30,64.00,92.00,769.00,41.00,180.00,30.60,13.30,27.60,233.00,5.78,27.10,1.63,494.00,6364.00,1053.00,6.00,16.00,3.00,361.00,344.00,545.00,4198.00,39.00,13.00,7.40,214.00,485.00,2166.00,15.00,4.50,113.00,111.00,1084.00,34.00,182.00,45.60,8.80,30.20,246.00,5.90,34.30,2.53
baltimore,531.00,6521.00,1064.00,6.10,15.00,7.00,386.00,289.00,440.00,3225.00,37.00,8.00,6.90,171.00,596.00,3296.00,21.00,5.50,188.00,109.00,867.00,27.00,163.00,52.10,8.60,28.90,322.00,6.61,39.30,2.96,282.00,4809.00,921.00,5.20,25.00,12.00,276.00,318.00,544.00,3315.00,15.00,13.00,5.70,163.00,340.00,1494.00,12.00,4.40,74.00,97.00,795.00,39.00,164.00,32.90,14.60,27.30,227.00,5.70,28.80,1.65
pittsburgh,289.00,4428.00,937.00,4.70,30.00,11.00,265.00,315.00,510.00,2981.00,18.00,19.00,5.50,147.00,395.00,1447.00,7.00,3.70,75.00,111.00,893.00,43.00,185.00,28.60,15.70,29.40,228.00,5.17,23.20,1.38,303.00,4866.00,1030.00,4.70,38.00,18.00,304.00,314.00,514.00,3113.00,23.00,20.00,5.50,164.00,462.00,1753.00,7.00,3.80,110.00,115.00,1118.00,30.00,184.00,29.90,19.00,30.50,241.00,5.70,25.70,1.55
cleveland,335.00,5455.00,973.00,5.60,28.00,7.00,305.00,318.00,539.00,3554.00,22.00,21.00,6.10,180.00,393.00,1901.00,15.00,4.80,90.00,122.00,1106.00,35.00,182.00,34.10,14.80,29.30,236.00,5.47,29.70,1.84,393.00,5785.00,1014.00,5.70,20.00,6.00,345.00,318.00,513.00,3470.00,25.00,14.00,6.30,184.00,463.00,2315.00,19.00,5.00,124.00,107.00,836.00,37.00,179.00,36.90,11.20,28.00,239.00,5.70,31.60,2.07
cincinnati,279.00,5169.00,1049.00,4.90,30.00,14.00,312.00,356.00,616.00,3652.00,18.00,16.00,5.50,191.00,385.00,1517.00,9.00,3.90,85.00,93.00,761.00,36.00,175.00,30.30,16.00,27.80,238.00,5.97,29.00,1.53,420.00,6299.00,1034.00,6.10,16.00,5.00,328.00,308.00,499.00,3917.00,25.00,11.00,7.40,183.00,504.00,2382.00,17.00,4.70,124.00,122.00,988.00,21.00,181.00,39.80,8.80,27.90,243.00,5.80,34.40,2.12
houston,378.00,5792.00,1017.00,5.70,22.00,8.00,346.00,355.00,534.00,3783.00,27.00,14.00,6.50,203.00,434.00,2009.00,17.00,4.60,112.00,111.00,892.00,31.00,167.00,37.70,12.00,28.60,250.00,6.15,34.30,2.19,385.00,6213.00,1020.00,6.10,22.00,10.00,346.00,375.00,586.00,4276.00,33.00,12.00,6.90,220.00,403.00,1937.00,12.00,4.80,98.00,109.00,859.00,28.00,168.00,39.30,13.10,25.90,250.00,6.20,36.80,2.25
tennessee,402.00,5805.00,949.00,6.10,17.00,9.00,317.00,297.00,448.00,3582.00,29.00,8.00,7.10,177.00,445.00,2223.00,21.00,5.00,104.00,99.00,932.00,36.00,183.00,31.70,8.20,27.50,228.00,5.24,31.50,2.04,331.00,5752.00,1056.00,5.40,23.00,9.00,335.00,386.00,598.00,4080.00,25.00,14.00,6.40,213.00,415.00,1672.00,14.00,4.00,95.00,125.00,1025.00,27.00,187.00,32.10,11.80,27.80,241.00,5.70,30.70,1.80
