date,home_team,visitor_team,home_points,visitor_points,home_margin_of_victory,favorite,spread,total,cover,over,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
908,carolina,denver,21,20,1,0,0,0,0,0,36.0,330.0,32.0,0.10000000000000053,4.0,-4.0,28.0,-33.0,-7.0,0.0,1.0,8.0,0.20000000000000018,13.0,43.0,330.0,5.0,0.3999999999999999,23.0,-21.0,-150.0,-8.0,-5.0,4.400000000000002,2.4000000000000004,1.2999999999999972,12.0,0.3099999999999996,2.3999999999999986,0.27,105.0,699.0,-41.0,0.8999999999999995,4.0,-3.0,23.0,103.0,60.0,1319.0,14.0,3.0,1.5,54.0,-106.0,-620.0,-4.0,-0.3999999999999999,-11.0,2.0,-83.0,-8.0,-1.0,6.800000000000004,1.6000000000000014,-2.0,-12.0,-0.20000000000000018,3.799999999999997,0.3900000000000001
911,greenbay,jacksonville,23,27,-4,0,0,0,0,0,114.0,541.0,-23.0,0.6000000000000005,-12.0,-4.0,28.0,34.0,-6.0,471.0,16.0,-8.0,0.8000000000000007,15.0,-18.0,70.0,3.0,0.2999999999999998,16.0,-29.0,-360.0,-3.0,-15.0,12.399999999999999,-4.5,3.0,23.0,0.3200000000000003,5.600000000000001,0.8400000000000003,-12.0,676.0,-43.0,0.9000000000000004,-12.0,2.0,24.0,25.0,20.0,864.0,12.0,10.0,1.1999999999999993,53.0,-70.0,-188.0,-6.0,0.20000000000000018,-13.0,8.0,16.0,-3.0,-18.0,1.7000000000000028,8.100000000000001,-2.900000000000002,5.0,0.3000000000000007,6.900000000000002,0.30000000000000004
911,buffalo,baltimore,13,7,6,0,0,0,0,0,56.0,103.0,-67.0,0.39999999999999947,-11.0,-2.0,12.0,-153.0,-205.0,-1064.0,-3.0,-9.0,0.0,-50.0,125.0,1167.0,19.0,1.2999999999999998,67.0,-13.0,-151.0,-5.0,-14.0,1.1000000000000014,-3.7,0.0,7.0,0.0600000000000005,2.6999999999999993,0.44000000000000017,57.0,558.0,26.0,0.39999999999999947,-11.0,-4.0,44.0,-63.0,-67.0,-142.0,-9.0,-6.0,0.40000000000000036,-7.0,85.0,700.0,11.0,0.7999999999999998,48.0,12.0,-16.0,-5.0,-9.0,10.699999999999996,-4.799999999999999,0.6999999999999993,17.0,0.5,4.399999999999999,0.42000000000000015
911,sandiego,kansascity,33,27,6,0,0,0,0,0,21.0,220.0,24.0,0.09999999999999964,18.0,5.0,35.0,-16.0,34.0,458.0,14.0,13.0,0.2999999999999998,17.0,-14.0,-238.0,-5.0,-0.40000000000000036,4.0,-2.0,-68.0,14.0,3.0,1.0,9.2,-2.3999999999999986,-3.0,0.009999999999999787,0.6999999999999993,0.18999999999999995,112.0,-342.0,-38.0,-0.09999999999999964,18.0,-5.0,-13.0,14.0,-18.0,29.0,-2.0,0.0,0.20000000000000018,-5.0,-27.0,-371.0,10.0,-0.6000000000000005,-4.0,10.0,40.0,14.0,4.0,7.899999999999999,-2.0,4.900000000000002,-6.0,-0.2999999999999998,-2.3999999999999986,0.40000000000000013
911,tampabay,atlanta,24,31,-7,0,0,0,0,0,-186.0,-1111.0,71.0,-1.5,16.0,5.0,-39.0,-19.0,41.0,-799.0,-9.0,11.0,-1.799999999999999,-19.0,32.0,-312.0,-12.0,-0.9999999999999996,-28.0,5.0,78.0,8.0,7.0,-20.200000000000003,8.5,-0.9000000000000021,-4.0,0.1299999999999999,-7.699999999999999,-1.1099999999999999,-37.0,-52.0,-46.0,0.20000000000000018,16.0,2.0,-32.0,-75.0,-107.0,-255.0,-7.0,5.0,0.5999999999999996,-29.0,57.0,203.0,0.0,-0.09999999999999964,7.0,8.0,87.0,8.0,8.0,-3.3000000000000043,3.299999999999999,1.6999999999999993,-8.0,-0.5,-1.7000000000000028,-0.30000000000000027
911,minnesota,tennessee,16,25,-9,0,0,0,0,0,-54.0,-687.0,-2.0,-0.7000000000000002,-2.0,4.0,-19.0,107.0,84.0,295.0,-9.0,-6.0,-0.6000000000000005,34.0,-96.0,-982.0,-7.0,-1.3999999999999995,-49.0,-7.0,-130.0,-4.0,-10.0,-3.6000000000000014,-2.3000000000000007,3.0,10.0,0.33000000000000007,-2.1000000000000014,-0.3999999999999999,-71.0,-682.0,-38.0,-0.40000000000000036,-2.0,7.0,-20.0,-56.0,-87.0,-980.0,-3.0,2.0,-0.8000000000000007,-41.0,48.0,298.0,-1.0,0.20000000000000018,17.0,-38.0,-366.0,-4.0,0.0,-1.7000000000000028,5.1,0.40000000000000213,2.0,-0.20000000000000018,-3.8000000000000043,-0.14000000000000012
911,oakland,neworleans,34,35,-1,0,0,0,0,0,-53.0,-843.0,-57.0,-0.5,-10.0,-2.0,-62.0,-93.0,-78.0,-1023.0,-9.0,-8.0,-0.6000000000000005,-67.0,30.0,180.0,0.0,0.10000000000000053,-7.0,40.0,278.0,12.0,13.0,-7.199999999999996,-5.499999999999999,4.300000000000001,-7.0,-0.7000000000000002,-7.099999999999998,-0.48,-69.0,-5.0,-21.0,0.09999999999999964,-10.0,2.0,-35.0,-50.0,-41.0,-260.0,0.0,7.0,0.09999999999999964,-42.0,25.0,255.0,-1.0,0.40000000000000036,3.0,11.0,181.0,12.0,18.0,-10.0,2.0,-4.400000000000002,-15.0,-0.7999999999999998,-3.1999999999999993,-0.4200000000000004
911,cincinnati,nyjets,22,23,-1,0,0,0,0,0,50.0,443.0,47.0,0.10000000000000053,-17.0,0.0,50.0,53.0,13.0,476.0,2.0,-17.0,0.5999999999999996,38.0,28.0,-33.0,7.0,-0.2999999999999998,3.0,-5.0,-111.0,9.0,-9.0,6.099999999999998,-9.3,-0.6999999999999993,6.0,0.5500000000000007,3.8999999999999986,0.3700000000000001,-94.0,133.0,38.0,-0.09999999999999964,-17.0,-3.0,9.0,27.0,48.0,-98.0,-8.0,9.0,-0.7000000000000002,-7.0,-16.0,231.0,1.0,0.7000000000000002,9.0,31.0,299.0,9.0,-7.0,-3.0,4.300000000000001,-3.0,11.0,0.39999999999999947,1.9000000000000021,-0.23999999999999977
911,cleveland,philadelphia,29,10,19,0,0,0,0,0,-103.0,-422.0,-97.0,0.09999999999999964,5.0,5.0,-37.0,-42.0,-42.0,-321.0,-1.0,0.0,-0.39999999999999947,-11.0,-88.0,-101.0,-3.0,0.8000000000000007,-31.0,-18.0,-209.0,5.0,2.0,-10.400000000000002,2.1000000000000014,-6.900000000000002,-24.0,-0.6799999999999997,-2.700000000000003,-0.41000000000000014,121.0,795.0,89.0,0.3000000000000007,5.0,-7.0,64.0,14.0,-10.0,164.0,11.0,-6.0,0.5,43.0,107.0,631.0,8.0,0.39999999999999947,32.0,5.0,93.0,5.0,-7.0,6.899999999999999,-7.300000000000001,2.5,32.0,0.6999999999999993,5.600000000000001,0.6600000000000001
911,chicago,houston,23,14,9,0,0,0,0,0,0.0,669.0,-104.0,1.2000000000000002,7.0,4.0,19.0,0.0,-24.0,793.0,4.0,3.0,1.5999999999999996,39.0,-76.0,-124.0,2.0,0.5,-9.0,23.0,99.0,-11.0,-13.0,-4.099999999999998,5.999999999999998,-3.1000000000000014,-7.0,-0.2599999999999998,5.800000000000001,0.050000000000000044,71.0,727.0,62.0,0.40000000000000036,7.0,-3.0,50.0,23.0,8.0,372.0,2.0,-3.0,0.5,31.0,48.0,355.0,5.0,0.40000000000000036,12.0,-11.0,10.0,-11.0,-12.0,10.3,-2.8,-1.1000000000000014,27.0,0.7000000000000002,6.099999999999998,0.5000000000000002
911,miami,seattle,12,10,2,0,0,0,0,0,9.0,-391.0,-99.0,0.20000000000000018,5.0,2.0,-35.0,-52.0,-90.0,-624.0,4.0,3.0,0.10000000000000053,-36.0,3.0,233.0,1.0,0.6000000000000001,5.0,8.0,172.0,-4.0,4.0,-6.599999999999998,1.4000000000000004,0.10000000000000142,-9.0,-0.6799999999999997,-2.8000000000000007,-0.08999999999999986,88.0,1023.0,68.0,0.5999999999999996,5.0,1.0,42.0,37.0,54.0,263.0,14.0,5.0,0.0,19.0,23.0,760.0,-4.0,1.4,15.0,6.0,-6.0,-4.0,10.0,6.800000000000001,2.5999999999999996,-0.1999999999999993,-1.0,0.09999999999999964,3.5,0.34999999999999987
911,nygiants,dallas,19,20,-1,0,0,0,0,0,-111.0,-736.0,8.0,-0.7999999999999998,12.0,2.0,-69.0,52.0,115.0,248.0,1.0,10.0,-0.7999999999999998,-1.0,-101.0,-984.0,-18.0,-1.2999999999999998,-69.0,-17.0,-22.0,1.0,20.0,-16.4,4.300000000000001,-1.1999999999999993,-36.0,-0.6399999999999997,-7.399999999999999,-0.9600000000000002,-22.0,-68.0,53.0,-0.40000000000000036,12.0,-3.0,-32.0,-56.0,-3.0,-149.0,-10.0,8.0,-0.20000000000000018,-35.0,57.0,81.0,1.0,-0.2999999999999998,3.0,14.0,69.0,1.0,29.0,-5.200000000000003,0.8999999999999986,-0.8000000000000007,-9.0,-0.6000000000000005,-5.100000000000001,-0.4500000000000002
911,detroit,indianapolis,35,39,-4,0,0,0,0,0,-65.0,-409.0,-56.0,-0.09999999999999964,-7.0,-2.0,-22.0,18.0,10.0,-91.0,-8.0,-5.0,-0.20000000000000018,-3.0,-59.0,-318.0,-4.0,-0.2999999999999998,-17.0,-3.0,-22.0,-2.0,-24.0,0.3999999999999986,-3.1999999999999993,-2.6000000000000014,60.0,0.5699999999999994,2.5,-0.16000000000000014,-34.0,-450.0,-60.0,-0.09999999999999964,-7.0,-5.0,-20.0,21.0,-33.0,-225.0,6.0,2.0,0.10000000000000053,-19.0,-20.0,-225.0,-4.0,-0.2999999999999998,6.0,-3.0,-176.0,-2.0,-16.0,-2.1000000000000014,-0.8999999999999986,0.5999999999999979,61.0,0.20000000000000018,0.7999999999999972,0.08000000000000007
911,newengland,arizona,21,23,-2,0,0,0,0,0,23.0,312.0,-30.0,0.5,-17.0,-2.0,-17.0,-15.0,-96.0,172.0,4.0,-15.0,1.5,-26.0,83.0,140.0,-1.0,-0.3999999999999999,12.0,-11.0,-70.0,-3.0,-15.0,7.899999999999999,-9.299999999999999,1.1999999999999993,14.0,0.35999999999999943,4.399999999999999,0.38000000000000034,-112.0,340.0,-21.0,0.40000000000000036,-17.0,-4.0,1.0,24.0,49.0,441.0,0.0,-1.0,0.2999999999999998,15.0,-56.0,-101.0,-10.0,0.2999999999999998,-9.0,-10.0,-80.0,-3.0,-15.0,-5.699999999999999,-1.700000000000001,-5.300000000000001,5.0,0.2999999999999998,3.8999999999999986,-0.3500000000000001
912,pittsburgh,washington,16,38,-22,0,0,0,0,0,3.0,-492.0,17.0,-0.6000000000000005,-3.0,-6.0,-9.0,-26.0,-11.0,-556.0,8.0,3.0,-0.7999999999999998,-16.0,30.0,64.0,-4.0,-0.20000000000000018,8.0,2.0,159.0,-1.0,7.0,-4.899999999999999,-1.5,-0.09999999999999787,-3.0,-0.20000000000000018,-4.199999999999996,-0.09999999999999964,-56.0,-564.0,-53.0,-0.2999999999999998,-3.0,2.0,-55.0,-6.0,1.0,-248.0,-2.0,0.0,-0.39999999999999947,-41.0,-54.0,-316.0,-4.0,-0.20000000000000018,-14.0,9.0,-103.0,-1.0,8.0,-4.0,0.09999999999999964,0.8999999999999986,-12.0,-0.6000000000000005,-4.800000000000004,-0.30000000000000004
912,larams,sanfrancisco,28,0,28,0,0,0,0,0,-85.0,-727.0,-36.0,-0.5,4.0,-6.0,-42.0,25.0,45.0,40.0,-7.0,10.0,-0.40000000000000036,-1.0,-83.0,-767.0,-6.0,-1.1000000000000005,-48.0,27.0,260.0,7.0,-4.0,-5.599999999999998,3.8000000000000007,0.1999999999999993,15.0,-0.0699999999999994,-3.3000000000000007,-0.42000000000000015,-86.0,-1110.0,-65.0,-0.7000000000000002,4.0,-2.0,-33.0,56.0,61.0,-116.0,2.0,0.0,-0.8000000000000007,7.0,-124.0,-994.0,-13.0,-0.8999999999999999,-49.0,15.0,125.0,7.0,-11.0,-10.099999999999998,0.0,-4.300000000000001,-5.0,-0.09999999999999964,-3.8999999999999986,-0.48
915,nyjets,buffalo,31,37,-6,0,0,0,0,0,-124.0,-398.0,-9.0,-0.2999999999999998,22.0,4.0,-37.0,25.0,76.0,430.0,-1.0,18.0,0.10000000000000053,11.0,-74.0,-828.0,-19.0,-1.0,-49.0,-19.0,-123.0,1.0,8.0,-7.0000000000000036,11.0,-1.3999999999999986,-3.0,-0.3100000000000005,-3.3000000000000007,-0.6400000000000001,31.0,-233.0,-19.0,-0.09999999999999964,22.0,0.0,-20.0,41.0,34.0,316.0,11.0,-4.0,0.2999999999999998,20.0,-41.0,-549.0,-10.0,-0.7999999999999998,-36.0,-32.0,-233.0,1.0,0.0,-1.0999999999999943,-2.200000000000001,0.6999999999999993,-7.0,-0.09999999999999964,-1.1000000000000014,-0.010000000000000231
918,miami,newengland,31,24,7,0,0,0,0,0,-78.0,-856.0,-143.0,-0.10000000000000053,12.0,-1.0,-73.0,-52.0,-73.0,-808.0,-5.0,13.0,-0.5999999999999996,-36.0,-76.0,-48.0,-5.0,0.6000000000000001,-19.0,32.0,323.0,-18.0,7.0,-12.2,6.199999999999999,-1.2999999999999972,-18.0,-1.0599999999999996,-5.899999999999999,-0.6000000000000001,130.0,899.0,90.0,0.39999999999999947,12.0,-1.0,55.0,0.0,-5.0,69.0,9.0,3.0,0.20000000000000018,9.0,96.0,830.0,6.0,0.8999999999999999,28.0,-4.0,-11.0,-18.0,15.0,8.3,1.700000000000001,3.1999999999999993,6.0,0.09999999999999964,2.3999999999999986,0.51
918,tennessee,detroit,15,16,-1,0,0,0,0,0,35.0,307.0,27.0,0.20000000000000018,3.0,2.0,-7.0,-81.0,-90.0,-570.0,5.0,1.0,0.20000000000000018,-42.0,126.0,877.0,7.0,0.8999999999999995,39.0,10.0,151.0,-4.0,28.0,-4.600000000000001,0.8000000000000007,2.5,-66.0,-0.8799999999999999,-3.799999999999997,-0.010000000000000231,20.0,44.0,67.0,-0.40000000000000036,3.0,2.0,-9.0,-11.0,86.0,332.0,-8.0,2.0,-0.5,21.0,-33.0,-288.0,2.0,-0.40000000000000036,-29.0,15.0,212.0,-4.0,17.0,-4.399999999999999,0.1999999999999993,-0.5,-62.0,-0.20000000000000018,-3.299999999999997,-0.3699999999999999
918,cincinnati,pittsburgh,24,16,8,0,0,0,0,0,-74.0,-251.0,24.0,-0.39999999999999947,-1.0,6.0,5.0,-17.0,-33.0,-260.0,-15.0,-7.0,-0.2999999999999998,-6.0,37.0,9.0,4.0,-0.2999999999999998,3.0,-24.0,-342.0,8.0,-6.0,-2.700000000000003,-1.4000000000000004,-0.5,3.0,0.34000000000000075,-0.30000000000000426,-0.29000000000000004,-12.0,130.0,41.0,-0.09999999999999964,-1.0,-7.0,14.0,-7.0,3.0,-82.0,2.0,4.0,-0.10000000000000053,12.0,43.0,212.0,-3.0,0.10000000000000053,0.0,-4.0,30.0,8.0,-1.0,0.20000000000000284,-0.5,-1.5,4.0,0.2999999999999998,0.9000000000000021,-0.010000000000000009
918,baltimore,cleveland,20,25,-5,0,0,0,0,0,79.0,587.0,96.0,0.10000000000000053,-2.0,-4.0,20.0,101.0,112.0,836.0,5.0,2.0,0.5999999999999996,24.0,17.0,-249.0,-3.0,-0.9000000000000004,-4.0,30.0,375.0,0.0,11.0,8.400000000000002,-2.8000000000000007,5.5,4.0,0.21999999999999975,1.7000000000000028,0.26,-131.0,-1125.0,-74.0,-0.7000000000000002,-2.0,7.0,-70.0,22.0,35.0,-272.0,-8.0,8.0,-0.9000000000000004,-30.0,-114.0,-853.0,-8.0,-0.8999999999999995,-47.0,-10.0,-30.0,0.0,13.0,-12.699999999999996,8.0,-1.3999999999999986,-30.0,-0.7999999999999998,-8.399999999999999,-0.7900000000000003
918,kansascity,houston,19,12,7,0,0,0,0,0,110.0,453.0,-81.0,0.7999999999999998,-7.0,1.0,0.0,18.0,-37.0,564.0,4.0,-8.0,1.2999999999999998,24.0,-44.0,-111.0,7.0,0.10000000000000053,-16.0,22.0,-20.0,-8.0,-7.0,5.700000000000003,-2.4000000000000004,1.8999999999999986,1.0,-0.22999999999999954,3.5,0.45999999999999996,-17.0,1075.0,113.0,0.40000000000000036,-7.0,9.0,70.0,31.0,76.0,732.0,3.0,7.0,0.5,52.0,40.0,343.0,-3.0,0.40000000000000036,15.0,-5.0,-152.0,-8.0,-4.0,0.1999999999999993,7.4,-3.400000000000002,13.0,0.7000000000000002,6.4999999999999964,0.0
918,sanfrancisco,carolina,46,27,19,0,0,0,0,0,-60.0,-569.0,-56.0,-0.2999999999999998,-4.0,5.0,-31.0,-19.0,-72.0,-774.0,0.0,-9.0,-0.7999999999999998,-42.0,5.0,205.0,-1.0,0.40000000000000036,17.0,1.0,-4.0,-6.0,4.0,-7.300000000000004,-3.3000000000000007,-3.1999999999999993,-22.0,-0.45999999999999996,-3.5,-0.26,78.0,746.0,67.0,0.3000000000000007,-4.0,0.0,29.0,-87.0,-91.0,-443.0,3.0,-7.0,0.40000000000000036,-36.0,172.0,1189.0,14.0,0.8999999999999999,50.0,-19.0,-112.0,-6.0,7.0,5.199999999999996,-4.4,4.300000000000001,15.0,0.09999999999999964,2.5,0.47
918,dallas,washington,23,27,-4,0,0,0,0,0,25.0,-427.0,1.0,-0.40000000000000036,-6.0,0.0,13.0,-82.0,-124.0,-1127.0,0.0,-6.0,-0.5,-35.0,120.0,700.0,7.0,0.2999999999999998,53.0,-5.0,-30.0,-5.0,-2.0,0.5,-2.700000000000001,1.4000000000000021,12.0,0.03000000000000025,-2.1000000000000014,0.1900000000000004,-77.0,-543.0,-41.0,-0.2999999999999998,-6.0,3.0,-38.0,38.0,44.0,37.0,3.0,-4.0,-0.39999999999999947,1.0,-83.0,-580.0,-10.0,-0.6000000000000001,-30.0,-10.0,-239.0,-5.0,-1.0,-3.3999999999999986,-0.5,0.8000000000000007,-12.0,-0.20000000000000018,-3.0,-0.26
918,neworleans,nygiants,16,13,3,0,0,0,0,0,159.0,1525.0,87.0,1.0,-3.0,-2.0,106.0,95.0,76.0,1195.0,12.0,-1.0,0.9000000000000004,75.0,6.0,330.0,11.0,0.7999999999999998,32.0,19.0,112.0,-1.0,-12.0,18.4,-0.3000000000000007,-0.20000000000000284,23.0,0.8799999999999999,10.399999999999999,1.0999999999999999,170.0,571.0,-54.0,0.9000000000000004,-3.0,4.0,55.0,9.0,-48.0,362.0,12.0,-8.0,1.2000000000000002,39.0,-1.0,209.0,9.0,0.49999999999999956,9.0,0.0,28.0,-1.0,-25.0,15.399999999999999,0.0,1.8000000000000007,8.0,0.5,7.299999999999997,1.0200000000000002
918,tampabay,arizona,40,7,33,0,0,0,0,0,-64.0,-326.0,-20.0,-0.20000000000000018,-1.0,-2.0,-28.0,-28.0,-68.0,-210.0,1.0,1.0,0.40000000000000036,-9.0,54.0,-116.0,-12.0,-0.6999999999999997,-17.0,5.0,37.0,-2.0,-15.0,-2.6000000000000014,0.6000000000000014,-1.3000000000000007,12.0,0.35999999999999943,0.8000000000000007,-0.23999999999999977,7.0,1004.0,-6.0,1.0,-1.0,-2.0,33.0,3.0,1.0,647.0,3.0,3.0,1.0999999999999996,28.0,3.0,357.0,-1.0,0.8000000000000003,12.0,-2.0,51.0,-2.0,-10.0,3.3999999999999986,1.799999999999999,-1.9000000000000021,7.0,0.2999999999999998,6.799999999999997,0.15999999999999992
918,seattle,larams,9,3,6,0,0,0,0,0,130.0,1512.0,52.0,1.1999999999999993,-11.0,-3.0,68.0,56.0,31.0,1173.0,9.0,-8.0,1.7999999999999998,52.0,28.0,339.0,4.0,0.6000000000000001,17.0,-9.0,-121.0,-1.0,-8.0,15.499999999999996,-4.800000000000001,2.1000000000000014,10.0,0.5299999999999994,9.100000000000001,0.77,-102.0,-293.0,-17.0,-0.20000000000000018,-11.0,0.0,-18.0,-47.0,-45.0,-120.0,-16.0,1.0,0.10000000000000053,-14.0,17.0,-173.0,4.0,-0.5,3.0,-5.0,5.0,-1.0,-8.0,-3.0,0.9000000000000004,1.0999999999999979,8.0,0.20000000000000018,-0.10000000000000142,-0.28
918,jacksonville,sandiego,38,14,24,0,0,0,0,0,-92.0,-349.0,38.0,-0.5,-6.0,-1.0,-19.0,20.0,46.0,-470.0,-9.0,-5.0,-1.2000000000000002,-7.0,-6.0,121.0,-2.0,0.40000000000000036,-15.0,22.0,407.0,3.0,10.0,-6.700000000000003,-4.6,-1.5,-15.0,-0.08999999999999986,-3.3999999999999986,-0.45999999999999996,-23.0,-407.0,5.0,-0.40000000000000036,-6.0,-4.0,-24.0,-19.0,-29.0,-543.0,-1.0,-11.0,-0.5999999999999996,-30.0,36.0,136.0,-3.0,0.0,-5.0,-18.0,111.0,3.0,5.0,-0.5,-8.7,-0.1999999999999993,-1.0,-0.10000000000000053,-3.099999999999998,-0.13000000000000012
918,atlanta,oakland,28,35,-7,0,0,0,0,0,124.0,680.0,-53.0,1.0,-3.0,-3.0,46.0,-5.0,-59.0,674.0,9.0,0.0,1.5999999999999996,41.0,-13.0,6.0,3.0,0.1999999999999993,10.0,-43.0,-399.0,-5.0,-19.0,13.899999999999999,-0.9000000000000004,-2.3999999999999986,10.0,0.3099999999999996,7.300000000000001,0.79,21.0,-62.0,72.0,-0.5,-3.0,-4.0,40.0,94.0,114.0,147.0,4.0,-4.0,-1.0999999999999996,44.0,-51.0,-209.0,-3.0,0.0,1.0,-2.0,-88.0,-5.0,-14.0,3.9000000000000057,-2.799999999999999,1.5,17.0,0.9000000000000004,1.9000000000000021,0.2100000000000004
918,indianapolis,denver,34,20,14,0,0,0,0,0,78.0,661.0,17.0,0.5,-3.0,-7.0,61.0,31.0,14.0,517.0,12.0,4.0,0.7000000000000002,39.0,-1.0,144.0,2.0,0.3999999999999999,17.0,-16.0,-102.0,5.0,-18.0,10.3,0.5999999999999996,-0.8000000000000007,24.0,0.6100000000000003,6.199999999999996,0.7000000000000002,95.0,1069.0,-52.0,1.2999999999999998,-3.0,-4.0,47.0,72.0,30.0,1228.0,14.0,-6.0,1.7999999999999998,56.0,-73.0,-159.0,-3.0,0.40000000000000036,-8.0,15.0,165.0,5.0,-21.0,12.100000000000001,-2.5,-2.6999999999999993,6.0,0.2999999999999998,9.100000000000001,0.6599999999999999
918,greenbay,minnesota,17,14,3,0,0,0,0,0,105.0,859.0,23.0,0.7000000000000002,1.0,-2.0,46.0,-11.0,32.0,363.0,20.0,3.0,0.3000000000000007,13.0,-6.0,496.0,2.0,1.2999999999999998,25.0,-3.0,-55.0,8.0,2.0,11.0,1.5999999999999996,-1.5999999999999979,1.0,0.07000000000000028,4.700000000000003,0.8000000000000003,81.0,785.0,-6.0,0.8000000000000007,1.0,-5.0,25.0,38.0,23.0,981.0,10.0,3.0,1.5,41.0,-28.0,-196.0,2.0,-0.20000000000000018,-7.0,10.0,139.0,8.0,-4.0,7.700000000000003,-0.1999999999999993,1.5999999999999979,-2.0,0.10000000000000053,5.300000000000004,0.55
919,philadelphia,chicago,14,29,-15,0,0,0,0,0,88.0,-306.0,113.0,-0.9000000000000004,-11.0,-6.0,9.0,33.0,50.0,-384.0,-3.0,-5.0,-1.2000000000000002,-20.0,58.0,78.0,6.0,-0.5,21.0,3.0,-22.0,8.0,6.0,10.3,-6.199999999999999,4.800000000000001,18.0,0.5499999999999998,-2.8999999999999986,0.3600000000000001,-68.0,-64.0,-34.0,0.09999999999999964,-11.0,7.0,-22.0,-9.0,23.0,234.0,3.0,8.0,0.20000000000000018,-11.0,-54.0,-298.0,-8.0,-0.20000000000000018,-10.0,-4.0,-122.0,8.0,12.0,-8.100000000000001,7.1000000000000005,-1.5,-32.0,-0.5999999999999996,-2.5,-0.41000000000000014
922,houston,newengland,27,0,27,0,0,0,0,0,-162.0,-1145.0,15.0,-1.2000000000000002,13.0,-1.0,-46.0,-21.0,33.0,-1132.0,-17.0,14.0,-2.3,-30.0,-26.0,-13.0,-11.0,0.19999999999999973,-7.0,-6.0,49.0,-9.0,3.0,-11.5,6.5,-2.299999999999997,-1.0,0.0,-6.699999999999999,-0.9700000000000002,78.0,-402.0,-48.0,-0.10000000000000053,13.0,-4.0,-22.0,-49.0,-74.0,-580.0,-1.0,-2.0,-0.20000000000000018,-33.0,29.0,178.0,7.0,0.10000000000000009,6.0,1.0,19.0,-9.0,7.0,4.899999999999999,-2.0999999999999996,5.300000000000001,-5.0,-0.40000000000000036,-3.1999999999999993,0.27
925,arizona,buffalo,33,18,15,0,0,0,0,0,19.0,202.0,74.0,-0.1999999999999993,16.0,6.0,40.0,97.0,172.0,1100.0,11.0,10.0,0.20000000000000018,74.0,-93.0,-898.0,-9.0,-1.0,-49.0,-8.0,-71.0,15.0,20.0,-1.7000000000000028,7.3999999999999995,0.8000000000000007,-11.0,-0.25,-2.3000000000000007,-0.11000000000000032,-16.0,-829.0,0.0,-0.7999999999999998,16.0,8.0,-45.0,38.0,36.0,-217.0,2.0,2.0,-0.7999999999999998,-8.0,-45.0,-612.0,-5.0,-0.8999999999999999,-32.0,17.0,126.0,15.0,11.0,-6.299999999999997,3.5999999999999996,0.8000000000000007,-14.0,-0.39999999999999947,-5.899999999999999,-0.30000000000000004
