,date,home_team,visitor_team,home_points,visitor_points,home_margin_of_victory,favorite,spread,total,cover,over,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
0,907,kansascity,newengland,27,42,-15,NewEngland,8,47.5,0,1,-43.0,-300.0,-85.0,0.1999999999999993,-1.0,-1.0,-67.0,-26.0,-44.0,-314.0,-6.0,0.0,0.0,-34.0,-43.0,14.0,-4.0,0.5,-12.0,23.0,209.0,-21.0,2.0,-4.5,-0.6000000000000005,0.6000000000000014,0.0,-0.5199999999999996,-2.1000000000000014,-0.3999999999999999,43.0,-14.0,22.0,-0.10000000000000052,8.0,4.0,27.0,-42.0,-20.0,-68.0,-1.0,4.0,0.1999999999999993,0.0,53.0,54.0,9.0,-0.4000000000000004,14.0,-4.0,-171.0,13.0,7.0,3.3000000000000007,3.5,1.1999999999999993,-5.0,-0.09999999999999963,-1.3999999999999986,0.25
1,910,oakland,tennessee,16,26,-10,Tennessee,3,50.5,0,0,-33.0,161.0,-22.0,0.20000000000000015,3.0,6.0,-3.0,41.0,62.0,440.0,9.0,-3.0,0.20000000000000015,21.0,-73.0,-279.0,-5.0,0.10000000000000052,-19.0,29.0,224.0,-5.0,-13.0,-5.900000000000002,2.6,-0.3999999999999986,4.0,0.16999999999999993,2.8000000000000007,-0.030000000000000027,17.0,353.0,-52.0,0.5999999999999996,-7.0,0.0,-19.0,-8.0,-75.0,30.0,-3.0,-7.0,1.0,-44.0,35.0,323.0,6.0,0.3999999999999999,25.0,-17.0,2.0,0.0,-14.0,3.6000000000000014,-3.8000000000000007,-0.8999999999999986,17.0,0.1999999999999993,4.599999999999998,0.2599999999999998
2,910,atlanta,chicago,17,23,-6,Atlanta,-6.5,48,0,0,89.0,1238.0,50.0,1.0,-4.0,-4.0,64.0,52.0,57.0,1179.0,8.0,0.0,1.7000000000000002,56.0,8.0,59.0,-1.0,0.09999999999999963,9.0,-13.0,-25.0,-1.0,-9.0,17.1,-1.7999999999999992,-1.2000000000000028,13.0,0.7000000000000002,8.999999999999996,0.74,-5.0,-12.0,-9.0,0.0,-6.0,-6.0,25.0,19.0,24.0,53.0,4.0,0.0,-0.10000000000000052,17.0,-30.0,-65.0,-1.0,0.09999999999999963,12.0,-15.0,-30.0,-4.0,-14.0,2.8999999999999986,-2.1,-0.5,6.0,0.5,2.3000000000000007,0.17000000000000015
3,910,nyjets,buffalo,21,12,9,Buffalo,7,42,1,0,-4.0,42.0,-26.0,0.20000000000000015,8.0,6.0,-9.0,34.0,34.0,357.0,3.0,2.0,0.2999999999999998,8.0,-60.0,-315.0,1.0,-0.09999999999999963,-28.0,21.0,163.0,11.0,19.0,-3.0999999999999983,2.1999999999999997,-0.5999999999999979,-5.0,-0.7999999999999998,-2.3999999999999986,-0.07000000000000006,23.0,-46.0,-14.0,0.10000000000000052,-5.0,2.0,-19.0,-41.0,-15.0,61.0,16.0,-7.0,0.3000000000000007,-8.0,0.0,-107.0,-9.0,-0.2999999999999998,-33.0,17.0,108.0,22.0,9.0,-3.9000000000000057,-2.6999999999999997,-1.900000000000002,-17.0,-0.39999999999999947,-1.900000000000002,0.0
4,910,pittsburgh,cleveland,18,21,-3,Pittsburgh,-10.0,47.5,0,0,172.0,1105.0,43.0,0.8999999999999995,-21.0,-8.0,58.0,72.0,16.0,1152.0,14.0,-13.0,1.8999999999999997,60.0,53.0,-47.0,1.0,-0.7000000000000002,-1.0,-9.0,-27.0,-1.0,-7.0,21.0,-10.4,2.8000000000000007,26.0,0.5599999999999996,7.200000000000002,1.01,-102.0,-340.0,-86.0,0.10000000000000052,9.0,0.0,-45.0,-63.0,-26.0,-467.0,-8.0,9.0,-0.7999999999999998,-32.0,-82.0,127.0,0.0,1.0000000000000004,-6.0,9.0,135.0,-7.0,-10.0,-5.900000000000002,5.5,-4.600000000000001,-15.0,-0.1999999999999993,-0.1999999999999993,-0.3300000000000001
5,910,baltimore,cincinnati,0,20,-20,Cincinnati,2.5,41.5,0,0,105.0,398.0,127.0,-0.20000000000000015,-6.0,-7.0,44.0,59.0,57.0,-92.0,-5.0,1.0,-0.6000000000000005,3.0,83.0,490.0,8.0,0.3999999999999999,39.0,-19.0,-278.0,2.0,7.0,10.0,-2.5,4.899999999999999,12.0,0.5899999999999999,1.1999999999999993,0.3800000000000001,-46.0,-224.0,-46.0,0.0,20.0,9.0,-29.0,-3.0,8.0,42.0,-2.0,11.0,0.0,6.0,-54.0,-266.0,-1.0,-0.10000000000000052,-24.0,-10.0,-99.0,-11.0,11.0,-7.300000000000002,9.8,-2.8000000000000007,-26.0,-0.7000000000000002,-2.799999999999997,-0.3200000000000001
6,910,philadelphia,washington,17,30,-13,Philadelphia,-2.0,49,0,0,115.0,653.0,91.0,0.20000000000000015,-7.0,-3.0,60.0,-6.0,24.0,-14.0,11.0,-4.0,-0.2999999999999998,2.0,72.0,667.0,-1.0,0.8999999999999999,42.0,24.0,229.0,16.0,0.0,8.399999999999999,-3.1999999999999997,0.6000000000000014,14.0,0.5099999999999998,3.5,0.48,-93.0,-662.0,-69.0,-0.2999999999999998,8.0,5.0,-35.0,57.0,70.0,217.0,1.0,3.0,-0.2999999999999998,6.0,-135.0,-879.0,-6.0,-0.7000000000000002,-43.0,1.0,30.0,2.0,-7.0,-8.799999999999997,3.6,-2.1000000000000014,-11.0,-0.2999999999999998,-2.299999999999997,-0.3500000000000001
7,910,arizona,detroit,35,23,12,Arizona,-2.0,48.5,1,1,-115.0,-378.0,80.0,-0.7999999999999998,3.0,-4.0,14.0,-35.0,28.0,-543.0,-8.0,7.0,-1.2000000000000002,-10.0,47.0,165.0,-4.0,0.0,8.0,6.0,-88.0,16.0,17.0,-8.099999999999998,0.5,-0.1999999999999993,-7.0,-0.09999999999999963,-4.200000000000003,-0.55,-15.0,-719.0,-29.0,-0.5999999999999996,-11.0,-7.0,-66.0,-23.0,-6.0,-351.0,3.0,-4.0,-0.5,-18.0,-25.0,-368.0,-6.0,-0.7000000000000002,-41.0,19.0,157.0,-7.0,8.0,-0.7999999999999972,-5.600000000000001,1.1999999999999993,-9.0,-0.39999999999999947,-4.800000000000002,-0.09000000000000008
8,910,jacksonville,houston,7,29,-22,Houston,6,38,0,0,79.0,735.0,51.0,0.4000000000000004,-5.0,-1.0,19.0,17.0,2.0,315.0,-7.0,-4.0,0.7999999999999998,13.0,79.0,420.0,10.0,0.20000000000000015,15.0,-12.0,-114.0,-9.0,7.0,5.500000000000004,-3.5,3.899999999999999,6.0,0.10999999999999943,2.6999999999999997,0.19000000000000014,-168.0,-968.0,20.0,-1.1000000000000003,17.0,7.0,-44.0,-32.0,8.0,-1081.0,-13.0,10.0,-2.3,-33.0,-11.0,113.0,-5.0,0.2999999999999998,3.0,-10.0,-78.0,-14.0,11.0,-15.800000000000004,7.899999999999999,-1.0,-14.0,-0.20000000000000015,-6.400000000000002,-0.8600000000000001
9,910,indianapolis,larams,46,9,37,LARams,3.5,41.5,1,1,-215.0,-1231.0,-6.0,-1.2000000000000002,-6.0,-8.0,-44.0,-35.0,-31.0,-939.0,-15.0,2.0,-1.7000000000000002,-37.0,-3.0,-292.0,-6.0,-0.5999999999999996,-3.0,-15.0,-143.0,-4.0,-10.0,-15.9,-1.1999999999999993,-5.599999999999998,6.0,0.21,-5.199999999999998,-0.91,75.0,441.0,5.0,0.4000000000000004,-8.0,-3.0,24.0,-4.0,-42.0,471.0,2.0,-5.0,1.5,11.0,70.0,-30.0,0.0,-0.8000000000000003,13.0,0.0,14.0,0.0,-19.0,9.1,-3.6999999999999993,-0.5,25.0,0.5999999999999996,5.500000000000004,0.4000000000000001
