,date,home_team,visitor_team,home_points,visitor_points,home_margin_of_victory,favorite,spread,total,cover,over,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
0,906,neworleans,indianapolis,41,10,31,Indianapolis,5.5,52.5,1,0,-71.0,41.0,40.0,-0.09999999999999963,11.0,7.0,-11.0,85.0,101.0,281.0,-4.0,4.0,-0.5,20.0,-54.0,-240.0,-5.0,-0.09999999999999963,-25.0,1.0,66.0,-6.0,14.0,-12.900000000000002,4.700000000000001,-3.3000000000000007,-6.0,-0.3100000000000005,-2.5,-0.69,126.0,1095.0,-16.0,1.2000000000000002,11.0,-5.0,0.0,2.0,26.0,1160.0,16.0,-9.0,1.7999999999999998,34.0,-46.0,-65.0,-3.0,0.20000000000000015,-31.0,4.0,-37.0,-6.0,20.0,10.999999999999995,-9.500000000000002,2.5,-27.0,-0.7000000000000002,2.6999999999999997,0.5700000000000001
1,909,carolina,stlouis,13,27,-14,St.Louis,2.5,43,0,0,4.0,-201.0,-37.0,0.0,-8.0,3.0,-26.0,-48.0,-69.0,-498.0,0.0,-11.0,-0.10000000000000052,-51.0,47.0,297.0,2.0,0.20000000000000015,20.0,1.0,7.0,5.0,-4.0,1.6000000000000014,-4.899999999999999,0.3000000000000007,-4.0,-0.11000000000000032,-0.7000000000000028,0.10000000000000007,-91.0,-260.0,33.0,-0.5,-8.0,7.0,-14.0,19.0,14.0,-187.0,-3.0,-4.0,-0.4000000000000004,-16.0,27.0,-73.0,-3.0,-0.2999999999999998,-5.0,5.0,172.0,5.0,1.0,-7.5,1.5,-0.4000000000000057,6.0,0.09999999999999963,-1.5,-0.3699999999999999
2,909,atlanta,minnesota,24,3,21,Minnesota,3,34,1,0,-106.0,-566.0,23.0,-0.6999999999999993,-6.0,-7.0,-46.0,87.0,123.0,548.0,6.0,1.0,-0.2999999999999998,22.0,-109.0,-1114.0,-15.0,-1.4,-58.0,19.0,229.0,-10.0,4.0,-2.099999999999998,-2.9000000000000004,3.3000000000000007,-7.0,0.05999999999999961,-3.5,-0.27,103.0,278.0,-21.0,0.4000000000000004,-6.0,-4.0,15.0,-79.0,-110.0,-570.0,5.0,1.0,0.2999999999999998,-32.0,102.0,848.0,5.0,1.1,38.0,-19.0,45.0,-10.0,-5.0,6.099999999999998,-2.700000000000001,-0.8999999999999986,8.0,0.0,2.3000000000000007,0.4199999999999999
3,909,miami,washington,16,13,3,Washington,3,34,1,0,-67.0,-734.0,-63.0,-0.39999999999999947,0.0,-5.0,-24.0,-1.0,33.0,-432.0,-6.0,5.0,-1.2000000000000002,-30.0,-109.0,-302.0,-1.0,0.20000000000000015,4.0,1.0,-19.0,2.0,-18.0,-5.200000000000003,1.0,-4.300000000000002,7.0,0.15000000000000036,-1.3999999999999986,-0.25,127.0,591.0,-43.0,0.7999999999999998,0.0,-2.0,27.0,-109.0,-193.0,-405.0,8.0,0.0,1.5,-9.0,153.0,996.0,8.0,0.7999999999999998,40.0,-15.0,-80.0,2.0,-19.0,13.0,-0.9000000000000004,2.9999999999999964,26.0,0.2999999999999998,6.199999999999998,0.8200000000000001
4,909,denver,buffalo,14,15,-1,Denver,-3.0,38.5,0,0,68.0,1107.0,57.0,0.9000000000000004,8.0,7.0,57.0,63.0,70.0,950.0,9.0,1.0,1.0,46.0,-19.0,157.0,2.0,0.5999999999999996,5.0,12.0,-23.0,6.0,0.0,7.899999999999999,2.799999999999999,-2.3999999999999986,4.0,0.3500000000000005,6.300000000000002,0.48,55.0,-431.0,-55.0,-0.09999999999999963,8.0,4.0,-16.0,-75.0,-109.0,-720.0,6.0,-4.0,-0.10000000000000052,-35.0,47.0,289.0,-1.0,0.1999999999999993,15.0,9.0,61.0,6.0,4.0,1.5,0.1999999999999993,1.0,-3.0,-0.5,-3.200000000000003,0.10999999999999988
5,909,philadelphia,greenbay,16,13,3,Philadelphia,-3.0,41.5,1,0,-99.0,-202.0,62.0,-0.5,3.0,3.0,16.0,-33.0,-1.0,-579.0,-6.0,0.0,-1.2999999999999998,-24.0,33.0,377.0,-1.0,0.6000000000000005,49.0,-30.0,-357.0,-9.0,-8.0,-4.799999999999997,1.0999999999999996,-2.3000000000000007,10.0,0.54,0.5,-0.20999999999999971,9.0,-31.0,-15.0,0.09999999999999963,3.0,-1.0,-18.0,17.0,5.0,83.0,-7.0,-8.0,0.09999999999999963,1.0,-21.0,-114.0,4.0,-0.10000000000000007,3.0,-37.0,-292.0,-9.0,5.0,1.3999999999999986,-3.0,3.3999999999999986,-8.0,-0.1999999999999993,-0.8999999999999986,-0.040000000000000036
6,909,pittsburgh,cleveland,7,34,-27,Pittsburgh,-5.0,36,0,1,-9.0,-382.0,-4.0,-0.39999999999999947,-7.0,-1.0,-17.0,-23.0,-103.0,-655.0,5.0,-6.0,-0.2999999999999998,-13.0,71.0,273.0,-4.0,-0.09999999999999963,-2.0,-34.0,-217.0,-2.0,-17.0,2.3000000000000043,-3.1999999999999997,-0.8000000000000043,77.0,0.4700000000000006,0.6000000000000014,0.16999999999999993,-113.0,-1491.0,-133.0,-0.8000000000000007,-7.0,4.0,-86.0,-48.0,-42.0,-857.0,-7.0,-6.0,-1.1999999999999993,-53.0,-99.0,-634.0,-2.0,-0.5,-26.0,-7.0,-25.0,-2.0,-12.0,-10.599999999999998,-0.3000000000000007,-2.400000000000002,-13.0,-0.4000000000000004,-6.400000000000002,-0.47
7,909,newengland,nyjets,14,38,-24,NewEngland,-6.0,41.5,0,1,321.0,1865.0,47.0,1.5,-10.0,0.0,107.0,93.0,74.0,1717.0,35.0,-10.0,2.5,70.0,5.0,148.0,11.0,0.2999999999999998,32.0,15.0,204.0,5.0,-4.0,23.500000000000004,-6.2,1.9999999999999964,64.0,0.3500000000000005,11.799999999999995,1.82,-81.0,-697.0,-83.0,-0.2999999999999998,-10.0,6.0,-37.0,25.0,56.0,-113.0,5.0,4.0,-1.0,-2.0,-157.0,-584.0,-7.0,0.20000000000000015,-37.0,3.0,3.0,5.0,6.0,-12.1,4.200000000000001,-2.5,-72.0,-0.7999999999999998,-5.099999999999998,-0.43000000000000016
8,909,tennessee,jacksonville,10,13,-3,Jacksonville,7.5,39.5,1,0,-110.0,-732.0,15.0,-0.7999999999999998,13.0,4.0,-22.0,0.0,-5.0,-450.0,-19.0,9.0,-0.9000000000000004,-9.0,21.0,-282.0,-1.0,-0.6999999999999997,-9.0,25.0,179.0,-4.0,20.0,-7.300000000000003,6.799999999999999,2.3000000000000007,-60.0,-0.5099999999999998,-7.4999999999999964,-0.7599999999999998,-7.0,-356.0,8.0,-0.4000000000000004,13.0,2.0,-18.0,30.0,26.0,-229.0,1.0,2.0,-0.7000000000000002,-16.0,-21.0,-127.0,-1.0,-0.09999999999999963,-12.0,8.0,109.0,-4.0,12.0,-1.8999999999999984,-1.1999999999999993,-1.1000000000000014,-6.0,-0.2999999999999998,-4.0,-0.10999999999999988
9,909,kansascity,houston,20,3,17,HoustonTexans,3,37.5,1,0,-153.0,-908.0,33.0,-1.0999999999999996,-5.0,-4.0,-40.0,-11.0,34.0,-570.0,-7.0,-1.0,-1.7000000000000002,-19.0,-34.0,-338.0,-6.0,-0.5,-30.0,19.0,61.0,9.0,22.0,-13.9,-5.399999999999999,-1.5,-16.0,-0.5,-8.0,-0.7799999999999998,-49.0,-396.0,-14.0,-0.2999999999999998,-5.0,-6.0,-47.0,-85.0,-84.0,-660.0,-8.0,3.0,-0.3000000000000007,-41.0,64.0,264.0,-4.0,-0.10000000000000052,-3.0,14.0,81.0,9.0,18.0,-6.799999999999998,-1.0999999999999996,-2.1000000000000014,-15.0,-0.6000000000000005,-4.900000000000002,-0.54
